numero_catastro,propietario,ci,direccion,zona,distrito,manzano,lote,superficie_terreno,area_construida,uso_suelo,matricula_ddrr,valor_catastral,impuesto_anual,latitud,longitud,zona_original,zona_canonica,distrito_original,distrito_corregido,comuna_corregida,motivo_validacion
08-08-036-0897-000,Hernando NÃºÃ±ez,9900139 CBBA,Av. CircunvalaciÃ³n NÂ° 821,HIPODROMO,6,828,25,312,247,Salud,3.01.1.49.1039916,595296,892.94,-17.446894,-66.131692,HIPODROMO,HIPÓDROMO,6,12,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
02-06-536-1569-000,Hernando NÃºÃ±ez,9900139 CBBA,Av. Blanco Galindo NÂ° 588,MESADILLA,9,364,8,254,201,Comercial,3.01.1.81.3180808,525018,787.53,-17.413617,-66.150692,MESADILLA,MESADILLA,9,1,TUNARI,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
03-07-684-1473-000,Hernando NÃºÃ±ez,9900139 CBBA,Av. CircunvalaciÃ³n NÂ° 582,ARANJUEZ ALTO,3,878,31,991,176,Industrial,3.01.1.42.3274476,2303084,3454.63,-17.449836,-66.166061,ARANJUEZ ALTO,ARANJUEZ ALTO,3,1,TUNARI,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
08-03-383-9487-000,Ester Roda-Guerra,9120407 CBBA,Av. Beijing NÂ° 670,VALLE HERMOSO,10,169,23,961,652,Residencial,3.01.1.74.3917219,2190119,3285.18,-17.451356,-66.101547,VALLE HERMOSO,VALLE HERMOSO,10,5,ALEJO CALATAYUD,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
04-20-788-7562-000,Ester Roda-Guerra,9120407 CBBA,Av. Blanco Galindo NÂ° 3299,KHARA KHARA ARRUMANI,8,237,41,383,363,Industrial,3.01.1.62.3298860,585607,878.41,-17.348357,-66.171106,KHARA KHARA ARRUMANI,KHARA KHARA ARRUMANI,8,15,ITOCTA,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
03-19-331-4852-000,Ester Roda-Guerra,9120407 CBBA,Av. Melchor PÃ©rez NÂ° 1241,ALALAY SUD,15,115,20,1038,964,Educativo,3.01.1.24.1939284,1914072,2871.11,-17.38294,-66.201157,ALALAY SUD,ALALAY SUD,15,7,VALLE HERMOSO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
08-05-929-5251-000,PlÃ¡cido Ãguila,8554465 CBBA,Av. Beijing NÂ° 1721,LA CHIMBA,14,954,47,928,387,Educativo,3.01.1.61.5259706,1610080,2415.12,-17.456365,-66.10839,LA CHIMBA,CHIMBA,14,4,MOLLE,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
04-15-965-1300-000,PlÃ¡cido Ãguila,8554465 CBBA,Av. Melchor PÃ©rez NÂ° 625,TICTI,12,474,10,526,78,Educativo,3.01.1.20.4665999,1300272,1950.41,-17.384274,-66.205546,TICTI,TICTI,12,5,ALEJO CALATAYUD,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
06-03-633-4828-000,PlÃ¡cido Ãguila,8554465 CBBA,Av. Melchor PÃ©rez NÂ° 459,MESADILLA,12,513,32,483,265,Educativo,3.01.1.98.4879278,774732,1162.1,-17.364851,-66.165792,MESADILLA,MESADILLA,12,1,TUNARI,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
01-18-498-0966-000,Juan Manuel Jaume Casal,5415916 CBBA,Av. AmÃ©rica NÂ° 3439,JAIHUAYCO,4,64,17,1008,528,Residencial,3.01.1.32.9991513,1617840,2426.76,-17.42031,-66.153622,JAIHUAYCO,JAIHUAYCO,4,5,ALEJO CALATAYUD,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
06-02-672-0071-000,Juan Manuel Jaume Casal,5415916 CBBA,Av. Melchor PÃ©rez NÂ° 4596,VALLE HERMOSO,15,814,22,719,289,Comercial,3.01.1.76.9309627,1474669,2212.0,-17.379139,-66.159456,VALLE HERMOSO,VALLE HERMOSO,15,5,ALEJO CALATAYUD,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
13-09-149-4556-000,Juan Manuel Jaume Casal,5415916 CBBA,Av. AmÃ©rica NÂ° 3901,ARANJUEZ ALTO,6,642,20,1018,660,Comercial,3.01.1.45.1012718,1635926,2453.89,-17.369592,-66.17654,ARANJUEZ ALTO,ARANJUEZ ALTO,6,1,TUNARI,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
03-17-058-3344-000,Rafael Tomas Sevillano,7133981 CBBA,Av. Blanco Galindo NÂ° 3343,MUYURINA,14,967,3,1005,120,Salud,3.01.1.33.5820752,758775,1138.16,-17.399351,-66.2041,MUYURINA,MUYURINA,14,11,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
02-02-396-2535-000,Rafael Tomas Sevillano,7133981 CBBA,Av. AmÃ©rica NÂ° 4827,TUPURAYA,10,129,2,1134,455,Comercial,3.01.1.39.5895929,2833866,4250.8,-17.377033,-66.183837,TUPURAYA,TUPURAYA,10,12,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
01-14-773-3220-000,Rafael Tomas Sevillano,7133981 CBBA,Av. Beijing NÂ° 3306,CHIQUICOLLO,6,144,41,914,145,Residencial,3.01.1.60.1991418,863730,1295.6,-17.377558,-66.185204,CHIQUICOLLO,CHIQUICOLLO,6,3,MOLLE,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
11-03-215-0931-000,Margarita CalderÃ³n Calatayud,3219968 CBBA,Av. Blanco Galindo NÂ° 1516,KHARA KHARA ARRUMANI,2,602,20,488,212,Salud,3.01.1.62.3680680,1119472,1679.21,-17.410692,-66.167456,KHARA KHARA ARRUMANI,KHARA KHARA ARRUMANI,2,15,ITOCTA,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
09-05-184-8313-000,Margarita CalderÃ³n Calatayud,3219968 CBBA,Av. VillazÃ³n NÂ° 935,CALA CALA,11,760,34,448,369,Residencial,3.01.1.20.4424936,748608,1122.91,-17.455697,-66.14323,CALA CALA,CALA CALA,11,12,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
08-09-261-3617-000,Margarita CalderÃ³n Calatayud,3219968 CBBA,Av. VillazÃ³n NÂ° 4997,TAMBORADA PUKARITA,12,480,47,460,220,Industrial,3.01.1.18.5824065,998200,1497.3,-17.440431,-66.165304,TAMBORADA PUKARITA,TAMBORADA PUKARITA,12,9,ITOCTA,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
14-20-178-5071-000,Margarita CalderÃ³n Calatayud,3219968 CBBA,Av. Blanco Galindo NÂ° 3779,MUYURINA,15,774,44,999,835,Residencial,3.01.1.12.5514787,2334663,3501.99,-17.339683,-66.170809,MUYURINA,MUYURINA,15,11,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
05-19-425-7085-000,Margarita CalderÃ³n Calatayud,3219968 CBBA,Av. AmÃ©rica NÂ° 242,SUDESTE,9,610,40,702,180,Comercial,3.01.1.12.1648300,1486134,2229.2,-17.355952,-66.16962,SUDESTE,SUDESTE,9,10,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
11-13-088-8041-000,Ernesto Valverde Muro,5761422 CBBA,Av. Melchor PÃ©rez NÂ° 4489,VALLE HERMOSO,8,36,3,443,258,Educativo,3.01.1.17.3033121,768605,1152.91,-17.429829,-66.119319,VALLE HERMOSO,VALLE HERMOSO,8,5,ALEJO CALATAYUD,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
04-18-957-3752-000,Ernesto Valverde Muro,5761422 CBBA,Av. VillazÃ³n NÂ° 2295,SUDOESTE,1,4,7,413,376,Mixto,3.01.1.64.8968478,420434,630.65,-17.45216,-66.112292,SUDOESTE,SUDOESTE,1,10,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
07-08-556-1004-000,Basilio JordÃ¡n Cisneros,8037235 CBBA,Av. Blanco Galindo NÂ° 4011,KHARA KHARA ARRUMANI,10,793,34,1083,207,Residencial,3.01.1.90.3640702,833910,1250.87,-17.433391,-66.121079,KHARA KHARA ARRUMANI,KHARA KHARA ARRUMANI,10,15,ITOCTA,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
08-12-760-4578-000,Basilio JordÃ¡n Cisneros,8037235 CBBA,Av. Melchor PÃ©rez NÂ° 2282,LA CHIMBA,15,137,45,426,304,Industrial,3.01.1.33.8135420,515460,773.19,-17.401238,-66.208146,LA CHIMBA,CHIMBA,15,4,MOLLE,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
02-01-264-1956-000,Basilio JordÃ¡n Cisneros,8037235 CBBA,Av. AmÃ©rica NÂ° 1983,PUKARA GRANDE NORTE,11,172,14,1043,640,Residencial,3.01.1.87.4868376,1538425,2307.64,-17.347643,-66.165617,PUKARA GRANDE NORTE,PUKARA GRANDE NORTE,11,9,ITOCTA,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
03-01-866-2379-000,Basilio JordÃ¡n Cisneros,8037235 CBBA,Av. VillazÃ³n NÂ° 4687,ALALAY NORTE,5,897,14,865,485,Educativo,3.01.1.88.5905132,979180,1468.77,-17.427937,-66.127556,ALALAY NORTE,ALALAY NORTE,5,6,VALLE HERMOSO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
01-14-115-3972-000,Basilio JordÃ¡n Cisneros,8037235 CBBA,Av. CircunvalaciÃ³n NÂ° 1076,HIPODROMO,6,504,34,562,539,Residencial,3.01.1.49.6563983,745774,1118.66,-17.391934,-66.132542,HIPODROMO,HIPÓDROMO,6,12,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
09-01-013-0478-000,Tito VÃ©lez Benitez,5831067 CBBA,Av. Melchor PÃ©rez NÂ° 3600,KHARA KHARA ARRUMANI,2,103,21,1125,760,Industrial,3.01.1.85.6244898,2470500,3705.75,-17.390467,-66.169338,KHARA KHARA ARRUMANI,KHARA KHARA ARRUMANI,2,15,ITOCTA,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
13-07-822-9661-000,Tito VÃ©lez Benitez,5831067 CBBA,Av. Beijing NÂ° 196,CHIQUICOLLO,13,194,27,550,164,Mixto,3.01.1.71.2718918,1188000,1782.0,-17.458443,-66.124284,CHIQUICOLLO,CHIQUICOLLO,13,3,MOLLE,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
10-13-511-8480-000,Raimundo Edgardo Escribano Tomas,4001978 CBBA,Av. Blanco Galindo NÂ° 1714,LA CHIMBA,15,706,19,386,190,Industrial,3.01.1.99.9025155,610652,915.98,-17.447018,-66.113885,LA CHIMBA,CHIMBA,15,4,MOLLE,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
08-07-980-9732-000,Raimundo Edgardo Escribano Tomas,4001978 CBBA,Av. Beijing NÂ° 3142,TICTI,6,849,49,834,718,Mixto,3.01.1.17.2566559,693888,1040.83,-17.394713,-66.16732,TICTI,TICTI,6,5,ALEJO CALATAYUD,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
05-15-074-2060-000,Toni del AlemÃ¡n,3946728 CBBA,Av. Melchor PÃ©rez NÂ° 1504,JAIHUAYCO,4,827,48,1058,490,Educativo,3.01.1.26.6702351,2175248,3262.87,-17.40741,-66.145168,JAIHUAYCO,JAIHUAYCO,4,5,ALEJO CALATAYUD,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
11-20-981-3208-000,Toni del AlemÃ¡n,3946728 CBBA,Av. VillazÃ³n NÂ° 2305,LACMA,3,557,17,1120,531,Salud,3.01.1.30.4604402,1106560,1659.84,-17.405959,-66.200849,LACMA,LACMA,3,5,ALEJO CALATAYUD,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
14-08-050-9068-000,Toni del AlemÃ¡n,3946728 CBBA,Av. Beijing NÂ° 1457,KHARA KHARA ARRUMANI,5,467,13,818,438,Residencial,3.01.1.73.8260357,1352154,2028.23,-17.433282,-66.169967,KHARA KHARA ARRUMANI,KHARA KHARA ARRUMANI,5,15,ITOCTA,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
08-06-213-2118-000,Toni del AlemÃ¡n,3946728 CBBA,Av. VillazÃ³n NÂ° 3400,USPHA USPHA,6,563,39,869,831,Educativo,3.01.1.48.8523595,524876,787.31,-17.357946,-66.144876,USPHA USPHA,USPHA USPHA,6,8,ALEJO CALATAYUD,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
15-02-186-8888-000,Toni del AlemÃ¡n,3946728 CBBA,Av. Blanco Galindo NÂ° 1533,TICTI,8,175,25,1039,1001,Comercial,3.01.1.54.8118691,2479054,3718.58,-17.456906,-66.116861,TICTI,TICTI,8,5,ALEJO CALATAYUD,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
07-12-064-4450-000,Hugo Benavent MirÃ³,9503606 CBBA,Av. CircunvalaciÃ³n NÂ° 2861,TUPURAYA,15,761,4,307,53,Industrial,3.01.1.33.5587185,451290,676.94,-17.35109,-66.181653,TUPURAYA,TUPURAYA,15,12,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
14-18-200-7732-000,Hugo Benavent MirÃ³,9503606 CBBA,Av. VillazÃ³n NÂ° 121,MESADILLA,12,325,50,559,295,Salud,3.01.1.23.6813167,501982,752.97,-17.437518,-66.11996,MESADILLA,MESADILLA,12,1,TUNARI,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
01-18-310-4896-000,MarÃ­a JesÃºs MariÃ±o Armengol,1547496 CBBA,Av. Melchor PÃ©rez NÂ° 3915,LA CHIMBA,2,663,46,257,138,Mixto,3.01.1.69.3544379,154714,232.07,-17.411884,-66.127806,LA CHIMBA,CHIMBA,2,4,MOLLE,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
06-16-861-4512-000,MarÃ­a JesÃºs MariÃ±o Armengol,1547496 CBBA,Av. Blanco Galindo NÂ° 3495,MUYURINA,3,419,8,349,197,Mixto,3.01.1.36.6142303,507795,761.69,-17.37233,-66.194362,MUYURINA,MUYURINA,3,11,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
08-13-707-3166-000,MarÃ­a JesÃºs MariÃ±o Armengol,1547496 CBBA,Av. Blanco Galindo NÂ° 2285,NORESTE,5,778,41,539,506,Salud,3.01.1.97.9156266,403172,604.76,-17.414122,-66.167441,NORESTE,NORESTE,5,10,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
08-17-127-6906-000,Perlita Rozas Camps,7645056 CBBA,Av. AmÃ©rica NÂ° 1393,PUKARA GRANDE OESTE,7,851,9,782,688,Industrial,3.01.1.69.4009431,1897914,2846.87,-17.419059,-66.170228,PUKARA GRANDE OESTE,PUKARA GRANDE OESTE,7,9,ITOCTA,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
10-16-512-8896-000,Perlita Rozas Camps,7645056 CBBA,Av. Beijing NÂ° 2738,CALA CALA,5,786,43,868,609,Mixto,3.01.1.73.3098014,1986852,2980.28,-17.364967,-66.181946,CALA CALA,CALA CALA,5,12,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
15-01-156-3183-000,Perlita Rozas Camps,7645056 CBBA,Av. AmÃ©rica NÂ° 2422,LAS CUADRAS,6,953,27,831,242,Industrial,3.01.1.15.9410440,1297191,1945.79,-17.466847,-66.142528,LAS CUADRAS,LAS CUADRAS,6,11,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
02-19-918-1619-000,Perlita Rozas Camps,7645056 CBBA,Av. VillazÃ³n NÂ° 1150,CONDEBAMBA,11,103,34,675,410,Mixto,3.01.1.79.6500186,561600,842.4,-17.455874,-66.10722,CONDEBAMBA,CONDEBAMBA,11,2,TUNARI,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
02-04-107-5772-000,Josefa AlcÃ¡zar CalderÃ³n,6115295 CBBA,Av. AmÃ©rica NÂ° 3404,ARANJUEZ ALTO,2,108,49,193,60,Salud,3.01.1.53.4561287,154786,232.18,-17.429814,-66.173806,ARANJUEZ ALTO,ARANJUEZ ALTO,2,1,TUNARI,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
03-09-113-2727-000,Josefa AlcÃ¡zar CalderÃ³n,6115295 CBBA,Av. CircunvalaciÃ³n NÂ° 915,KHARA KHARA ARRUMANI,10,23,25,669,497,Comercial,3.01.1.67.7004958,835581,1253.37,-17.350244,-66.177762,KHARA KHARA ARRUMANI,KHARA KHARA ARRUMANI,10,15,ITOCTA,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
05-06-591-7595-000,Josefa AlcÃ¡zar CalderÃ³n,6115295 CBBA,Av. AmÃ©rica NÂ° 2987,NORESTE,4,273,40,552,250,Residencial,3.01.1.11.4352482,490728,736.09,-17.406635,-66.132605,NORESTE,NORESTE,4,10,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
01-03-525-2585-000,Carmelo JuliÃ¡,5957210 CBBA,Av. Blanco Galindo NÂ° 528,MUYURINA,15,568,14,839,98,Industrial,3.01.1.18.7547061,1141040,1711.56,-17.375614,-66.180082,MUYURINA,MUYURINA,15,11,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
03-16-430-5141-000,Carmelo JuliÃ¡,5957210 CBBA,Av. Melchor PÃ©rez NÂ° 3051,QUERU QUERU,1,640,38,229,163,Salud,3.01.1.45.4546420,177704,266.56,-17.37997,-66.197173,QUERU QUERU,QUERU QUERU,1,12,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
13-02-251-8305-000,Carmelo JuliÃ¡,5957210 CBBA,Av. Melchor PÃ©rez NÂ° 4911,LA CHIMBA,13,100,24,1082,79,Mixto,3.01.1.25.2813138,785532,1178.3,-17.355973,-66.174426,LA CHIMBA,CHIMBA,13,4,MOLLE,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
10-16-996-5409-000,Carmelo JuliÃ¡,5957210 CBBA,Av. VillazÃ³n NÂ° 3648,HIPODROMO,11,244,47,707,665,Comercial,3.01.1.59.1158784,497021,745.53,-17.344833,-66.160056,HIPODROMO,HIPÓDROMO,11,12,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
09-12-610-0561-000,Carmelo JuliÃ¡,5957210 CBBA,Av. Beijing NÂ° 161,SUDESTE,11,340,27,277,160,Residencial,3.01.1.33.8543435,543197,814.8,-17.3707,-66.171585,SUDESTE,SUDESTE,11,10,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
12-15-296-7199-000,Consuela Gutierrez Calvo,8056427 CBBA,Av. Blanco Galindo NÂ° 4073,MUYURINA,13,121,31,300,204,Salud,3.01.1.72.4879508,483300,724.95,-17.413105,-66.195789,MUYURINA,MUYURINA,13,11,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
08-15-801-6699-000,Consuela Gutierrez Calvo,8056427 CBBA,Av. Melchor PÃ©rez NÂ° 1693,PUKARA GRANDE OESTE,4,230,9,919,387,Mixto,3.01.1.10.8420368,1583437,2375.16,-17.377366,-66.177645,PUKARA GRANDE OESTE,PUKARA GRANDE OESTE,4,9,ITOCTA,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
03-20-814-0255-000,Cayetano Guillermo Carmona Ballesteros,5955854 CBBA,Av. VillazÃ³n NÂ° 3461,NORESTE,15,800,40,568,212,Mixto,3.01.1.10.3258766,965032,1447.55,-17.447434,-66.12931,NORESTE,NORESTE,15,10,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
09-05-223-1598-000,Cayetano Guillermo Carmona Ballesteros,5955854 CBBA,Av. Beijing NÂ° 4912,TUPURAYA,5,626,34,1089,617,Mixto,3.01.1.10.2423285,1861101,2791.65,-17.405824,-66.157394,TUPURAYA,TUPURAYA,5,12,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
12-15-403-9066-000,Ãfrica del Rivera,5917749 CBBA,Av. Beijing NÂ° 3666,MESADILLA,2,554,30,354,301,Educativo,3.01.1.95.1600576,414534,621.8,-17.426589,-66.160901,MESADILLA,MESADILLA,2,1,TUNARI,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
03-09-061-0834-000,Leonor Toro Ojeda,1933857 CBBA,Av. VillazÃ³n NÂ° 124,ALALAY SUD,14,32,42,1192,603,Industrial,3.01.1.20.2196855,1158624,1737.94,-17.447954,-66.163603,ALALAY SUD,ALALAY SUD,14,7,VALLE HERMOSO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
14-17-577-3607-000,Leonor Toro Ojeda,1933857 CBBA,Av. Blanco Galindo NÂ° 1613,VILLA BUSCH,11,303,5,1116,878,Comercial,3.01.1.25.7594195,2753172,4129.76,-17.343123,-66.171263,VILLA BUSCH,VILLA BUSH,11,4,MOLLE,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
04-06-471-8765-000,MarÃ­a Carmen Ponce,9391631 CBBA,Av. Beijing NÂ° 1000,MAYORAZGO,8,103,5,306,202,Mixto,3.01.1.20.2965801,563040,844.56,-17.457843,-66.143421,MAYORAZGO,MAYORAZGO,8,2,TUNARI,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
