numero_contrato,numero_catastro,titular_contrato,ci_titular,categoria,subcategoria,medidor_iot,fecha_contrato,estado_contrato,diametro_conexion,tipo_servicio
CT-00000323,15-13-148-3452-000,MATILDE REYES VALLEJO,2912862 CBBA,Residencial,R2,06:C5:E0:B3:6A:75,12/27/11,ACTIVO,"1/2""",Agua Potable
CT-00000329,07-17-559-8183-000,JOSEFINA PIÃ±A-PAGÃ¨S,7926159 CBBA,Comercial,C,DE:21:05:80:A8:24,10/24/20,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00000338,08-06-678-6334-000,RAFAEL ESTEVEZ MORERA,5872761 CBBA,Comercial Especial,CE,16:ED:6B:0D:5C:A8,09/07/22,ACTIVO,"1/2""",Agua Potable
CT-00000349,05-16-789-8529-000,MAURA GUILLÃ©N BARÃ³N,7924088 CBBA,Residencial,R2,D3:09:8D:BA:4F:B9,07/28/13,ACTIVO,"1/2""",Agua Potable
CT-00000378,03-15-356-8649-000,FELICIANO RIBERA MIRÃ³,9076681 CBBA,Residencial,R1,9F:AD:9B:7E:77:F8,04/25/17,ACTIVO,"3/4""",Agua Potable
CT-00000383,15-19-478-1987-000,EUTROPIO AGUSTÃ­N BELLIDO,2461349 CBBA,Residencial,R1,B2:05:F1:B2:A3:8A,02/16/16,ACTIVO,"1/2""",Solo Agua
CT-00000391,02-06-385-4162-000,GUIOMAR CEREZO,7171412 CBBA,Comercial Especial,CE,F3:B9:46:A2:FF:A7,01/03/23,SUSPENDIDO,"1/2""",Agua Potable
CT-00000419,14-12-654-1524-000,CASANDRA BOTELLA IGLESIAS,1856245 CBBA,Residencial,R4,AC:26:89:68:67:3F,03/12/16,SUSPENDIDO,"1/2""",Agua + Alcantarillado
CT-00000421,03-07-578-2835-000,SOSIMO TORRALBA,7237831 CBBA,Residencial,R2,78:0C:BA:52:08:7D,08/19/22,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00000437,01-10-125-5458-000,OLGA BENAVIDES FERRER,9318075 CBBA,Residencial,R4,E6:44:82:7A:CF:61,01/31/15,ACTIVO,"1/2""",Agua Potable
CT-00000446,13-11-635-1697-000,AMARILIS MAYORAL,3761885 CBBA,Comercial,C,55:06:7D:E7:B5:17,09/04/12,ACTIVO,"3/4""",Agua Potable
CT-00000459,05-17-136-3162-000,CHEMA MARIÃ±O VERDÃº,5101855 CBBA,Residencial,R1,B3:6E:60:CD:03:CE,08/03/20,ACTIVO,"1/2""",Agua Potable
CT-00000474,07-14-504-8492-000,ÃGATA CÃ¡RDENAS,9828944 CBBA,Residencial,R2,93:CB:23:0A:B1:BB,11/25/22,CORTADO,"1/2""",Agua + Alcantarillado
CT-00000475,03-13-127-3148-000,ADRIÃ¡N BARRIOS OLIVA,8856097 CBBA,Residencial,R3,0F:4C:91:67:5F:C4,10/30/25,MOROSO,"1/2""",Agua + Alcantarillado
CT-00000505,09-16-977-7090-000,SEVERIANO PEÃ±AS,3565034 CBBA,Residencial,R1,0A:AF:A6:4B:F9:AD,06/30/14,SUSPENDIDO,"3/4""",Solo Agua
CT-00000522,15-08-048-3850-000,JAVIER GUERRERO SALCEDO,4531094 CBBA,Residencial,R3,F1:46:D0:A0:48:C1,08/20/12,ACTIVO,"1/2""",Agua Potable
CT-00000525,01-02-150-5912-000,MARISELA SALOM OSORIO,6830332 CBBA,Residencial,R4,F8:C2:8D:1E:DE:91,05/24/25,ACTIVO,"1""",Agua + Alcantarillado
CT-00000546,05-15-809-7257-000,FERMÃ­N PEDRO MONTERO,5776403 CBBA,Residencial,R2,C0:32:36:8E:0C:AC,04/17/20,CORTADO,"1/2""",Agua Industrial
CT-00000554,02-03-521-9368-000,ESTER DE MONTALBÃ¡N,3202913 CBBA,Residencial,R3,08:97:0E:8C:67:13,10/25/17,ACTIVO,"2""",Agua Potable
CT-00000577,12-01-357-5278-000,RUBEN BLASCO CERDÃ¡N,7795694 CBBA,Residencial,R1,1F:E4:3E:8C:A9:79,07/16/18,ACTIVO,"3/4""",Agua Potable
CT-00000599,14-05-391-6377-000,SALOMÃ³N PORTA EXPOSITO,7188182 CBBA,Residencial,R1,1B:C2:D7:5D:AD:F5,07/26/22,ACTIVO,"3/4""",Agua + Alcantarillado
CT-00000603,05-18-583-4433-000,NICODEMO PORTA GARCÃ©S,9409428 CBBA,Residencial,R1,F0:0B:8B:F0:5B:E8,04/14/15,ACTIVO,"1/2""",Agua Potable
CT-00000661,12-07-955-6799-000,CECILIA CARRIÃ³N QUEVEDO,7737789 CBBA,Residencial,R1,AB:7C:41:06:11:59,06/09/21,ACTIVO,"1/2""",Agua Industrial
CT-00000662,14-12-212-9351-000,CASEMIRO CARRERAS PÃ©REZ,8048000 CBBA,Residencial,R2,49:F9:D8:70:22:A3,04/03/17,ACTIVO,"3/4""",Agua + Alcantarillado
CT-00000672,06-08-902-2312-000,HILDA ORDÃ³Ã±EZ-CUÃ©LLAR,4810109 CBBA,Residencial,R4,29:D6:B9:97:30:CB,01/08/14,SUSPENDIDO,"1/2""",Agua + Alcantarillado
CT-00000673,12-06-844-9416-000,JOSE MANUEL PONT ROSALES,8273485 CBBA,Comercial,C,79:01:7A:33:7D:89,07/09/16,ACTIVO,"1/2""",Agua Potable
CT-00000678,11-02-550-6906-000,AMAYA LASA GUZMÃ¡N,7533850 CBBA,Comercial,C,A7:AF:E1:DC:8A:D7,01/02/21,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00000679,01-15-356-1164-000,CONSUELA DIEZ ABELLA,5863322 CBBA,Residencial,R1,1E:B2:89:8E:31:F3,12/31/21,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00000693,14-14-427-1649-000,ALMUDENA PEDRO FERRÃ¡NDIZ,8877711 CBBA,Residencial,R1,16:44:85:8D:2E:69,08/31/23,CORTADO,"1""",Agua Industrial
CT-00000694,14-15-683-7376-000,RAMIRO CABELLO PINTOR,7837331 CBBA,Residencial,R3,E4:1A:32:E2:C0:BF,05/13/26,ACTIVO,"1/2""",Agua Potable
CT-00000702,06-18-891-4738-000,JUANA GILABERT COLOMA,4780034 CBBA,Residencial,R1,F2:12:31:02:27:DE,04/26/19,ACTIVO,"3/4""",Agua Potable
CT-00000717,13-11-391-5216-000,MÃ¡XIMA BALLESTEROS LUZ,5764217 CBBA,Residencial,R4,65:56:82:24:CA:29,05/05/19,ACTIVO,"1/2""",Agua Potable
CT-00000727,09-20-881-9959-000,ALFONSO ESTEVEZ TEJADA,4469114 CBBA,Comercial Especial,CE,07:BF:8A:67:31:96,11/12/25,ACTIVO,"3/4""",Agua + Alcantarillado
CT-00000736,01-20-159-7873-000,JUANA MENDIZÃ¡BAL MIGUEL,8041770 CBBA,Preferencial,P,5E:92:AC:0C:F8:F4,08/27/18,SUSPENDIDO,"3/4""",Agua + Alcantarillado
CT-00000738,04-20-534-1978-000,AMADA PAVÃ³N VILLALONGA,6201372 CBBA,Comercial,C,14:C2:F9:CD:46:D2,12/25/11,ACTIVO,"1/2""",Solo Agua
CT-00000742,09-06-599-8544-000,NICOLASA SANTAMARÃ­A ARANA,1993924 CBBA,Residencial,R1,95:1C:70:13:DD:57,01/08/13,INACTIVO,"3/4""",Agua Potable
CT-00000756,10-03-529-4536-000,PERLA BERTA MARTÃ­N PUIG,4760822 CBBA,Residencial,R1,38:84:6E:EC:B0:F1,11/27/15,ACTIVO,"3/4""",Agua Potable
CT-00000774,09-18-754-5333-000,NOÃ© NOGUERA MARTÃ­N,8833271 CBBA,Residencial,R2,AA:6A:6D:FD:22:4D,01/29/22,SUSPENDIDO,"1/2""",Solo Agua
CT-00000786,06-12-656-8758-000,JUANITO BAYÃ³N PALACIO,4310621 CBBA,Comercial,C,E4:C9:52:12:FA:20,01/10/19,ACTIVO,"1""",Agua + Alcantarillado
CT-00000799,15-10-407-0170-000,XIMENA DEL HIERRO,8017984 CBBA,Residencial,R2,CD:CF:9D:D3:F9:06,10/15/13,ACTIVO,"1/2""",Agua Potable
CT-00000813,10-05-323-6755-000,ÃÃ±IGO MONREAL-NOGUERA,3140790 CBBA,Social,S,25:B1:A7:D4:5E:CA,11/13/25,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00000820,04-18-481-4456-000,MARCIA HERNÃ¡NDEZ SALAS,7295186 CBBA,Residencial,R1,94:CE:95:37:27:87,03/27/25,SUSPENDIDO,"1/2""",Agua + Alcantarillado
CT-00000831,14-18-704-6297-000,MICAELA MARÃ­N BOU,8193891 CBBA,Residencial,R3,E5:A1:0B:DA:DD:41,01/30/19,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00000840,10-10-639-1051-000,IRMA MARISCAL SORIA,2664250 CBBA,Residencial,R2,5F:A8:F0:42:4C:5E,12/18/23,ACTIVO,"1""",Agua Potable
CT-00000868,10-03-476-8650-000,ANSELMO NOGUERA MENDEZ,7847995 CBBA,Preferencial,P,41:42:C4:4F:12:2A,03/23/26,ACTIVO,"1""",Agua + Alcantarillado
CT-00000869,11-04-814-4297-000,LEIRE ARANA AMAYA,3362950 CBBA,Residencial,R2,2D:54:2F:15:02:91,03/15/18,INACTIVO,"1/2""",Solo Agua
CT-00000891,01-19-824-7924-000,RUY PI MORA,9981588 CBBA,Residencial,R4,77:06:33:BC:1A:22,03/21/24,ACTIVO,"1/2""",Agua Potable
CT-00000899,09-01-552-6793-000,JESSICA ECHEVARRÃ­A MAZA,2424286 CBBA,Industrial,I,61:F8:B4:79:93:6B,03/22/23,ACTIVO,"1/2""",Agua Potable
CT-00000921,05-04-919-2814-000,JOSÃ© LUIS BOADA CARRO,2293388 CBBA,Comercial,C,71:4F:F7:D7:23:CF,08/18/24,ACTIVO,"1/2""",Agua Potable
CT-00000925,06-01-285-4811-000,SOSIMO DE RIERA,1066434 CBBA,Residencial,R1,FC:86:A9:45:34:1F,12/07/12,ACTIVO,"1/2""",Agua Potable
CT-00000928,03-18-377-8581-000,JOSE IGNACIO BARRIOS LÃ³PEZ,7870939 CBBA,Residencial,R3,04:F6:0A:CC:32:21,07/04/13,ACTIVO,"3/4""",Agua Potable
CT-00000929,08-15-399-5902-000,BLANCA POL-RICART,6254710 CBBA,Residencial,R2,EF:16:73:F1:E8:6D,06/10/20,SUSPENDIDO,"1 1/2""",Agua + Alcantarillado
CT-00000932,15-13-627-9034-000,ALEJO BARRANCO BERMÃºDEZ,1572629 CBBA,Social,S,36:FD:16:76:42:2C,06/16/11,ACTIVO,"1/2""",Agua Industrial
CT-00000933,02-15-944-4880-000,TERESA CAMACHO TOLEDO,1833326 CBBA,Residencial,R1,87:82:78:76:67:54,10/24/12,SUSPENDIDO,"3/4""",Agua + Alcantarillado
CT-00000936,14-15-272-8539-000,VASCO MOLINA MAESTRE,8891895 CBBA,Residencial,R3,67:72:C9:84:6D:C5,01/12/12,CORTADO,"1/2""",Agua + Alcantarillado
CT-00000945,04-19-351-1034-000,LARA DEL TENA,6807528 CBBA,Residencial,R3,BF:69:6E:E3:05:A7,10/10/22,ACTIVO,"1/2""",Agua Potable
CT-00000959,07-15-940-0446-000,EUGENIA CANDELA EXPÃ³SITO MORERA,2963963 CBBA,Residencial,R4,90:80:32:89:BB:ED,03/26/25,ACTIVO,"1 1/2""",Agua + Alcantarillado
CT-00000986,14-11-810-2266-000,ASCENSIÃ³N DE NOVOA,7862519 CBBA,Residencial,R1,50:A0:2B:F2:5B:F7,06/20/20,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00000994,03-15-706-3453-000,EDUARDO BUENDÃ­A UREÃ±A,3088882 CBBA,Residencial,R2,3C:CD:AB:80:6B:EB,12/01/15,CORTADO,"1/2""",Agua Potable
CT-00000999,07-13-661-7205-000,MARISOL DELGADO CABANILLAS,8774855 CBBA,Industrial,I,46:6B:62:58:3A:C0,12/23/22,ACTIVO,"1/2""",Agua Potable
CT-00001019,10-14-192-6262-000,BRUNO DE HERVÃ¡S,5674477 CBBA,Comercial,C,86:5C:66:5A:63:50,07/22/11,MOROSO,"3/4""",Agua + Alcantarillado
CT-00001020,06-10-388-0638-000,FORTUNATO PADILLA PAREJO,7146199 CBBA,Comercial,C,DA:79:0F:DE:B0:F4,06/25/21,ACTIVO,"1/2""",Agua Industrial
CT-00001046,10-14-153-2429-000,CEFERINO CASTRILLO LOSADA,3155387 CBBA,Residencial,R4,B4:DB:B9:F3:B9:71,01/19/15,ACTIVO,"1/2""",Agua Potable
CT-00001058,12-16-066-1203-000,ÃDGAR FARRÃ© GOMEZ,2381882 CBBA,Residencial,R3,26:A9:56:26:7C:F7,07/18/13,ACTIVO,"1/2""",Solo Agua
CT-00001073,06-20-643-8255-000,ALEJANDRO NACHO PUJADAS ZABALETA,7539716 CBBA,Residencial,R2,A1:6A:F9:0F:1C:D0,12/22/17,ACTIVO,"1/2""",Solo Agua
CT-00001083,12-18-809-2409-000,EDELMIRO PINTO MARTIN,8393173 CBBA,Residencial,R1,13:8E:12:84:AA:87,07/14/21,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00001091,01-19-946-5069-000,MIRIAM CUADRADO SABATER,3691391 CBBA,Residencial,R1,FA:CB:32:01:BA:08,05/23/18,INACTIVO,"1/2""",Agua Potable
CT-00001095,01-01-757-9178-000,AMBROSIO EGEA MARTÃ­N,1508885 CBBA,Residencial,R1,BA:79:2A:5B:D7:62,12/23/23,ACTIVO,"3/4""",Agua Potable
CT-00001100,08-08-551-1467-000,ÃSCAR BARBERÃ¡ TELLO,5370713 CBBA,Residencial,R2,E4:78:A0:D4:D9:32,04/30/26,ACTIVO,"3/4""",Agua Potable
CT-00001105,01-09-314-8764-000,MARTINA MONTALBÃ¡N ZABALA,9184082 CBBA,Residencial,R3,1D:5D:60:83:29:CD,02/16/23,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00001126,09-14-899-4552-000,CIRIACO RICO BERMEJO BERROCAL,2685640 CBBA,Comercial,C,47:EC:78:B6:03:97,03/30/21,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00001132,01-07-957-1704-000,JULIO TALAVERA MENÃ©NDEZ,3698697 CBBA,Residencial,R1,32:84:D8:74:8D:99,02/15/26,ACTIVO,"1/2""",Agua Potable
CT-00001151,02-10-999-5974-000,LUIS MESA FUERTES,4031784 CBBA,Residencial,R1,3C:DD:89:99:54:A9,07/27/12,CORTADO,"1/2""",Agua + Alcantarillado
CT-00001158,15-16-323-9348-000,EDGARDO MENDEZ ESPAÃ±A,9653780 CBBA,Residencial,R1,2B:A6:2E:FD:28:B4,02/20/22,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00001171,02-07-895-6799-000,CAROLINA JUAN GOMILA,7324900 CBBA,Residencial,R1,16:35:C7:95:5D:D7,04/13/22,ACTIVO,"1/2""",Agua Potable
CT-00001178,13-01-851-5682-000,AMARILIS NEIRA ALEGRE,8402176 CBBA,Residencial,R3,43:E0:3E:96:B6:E2,06/01/13,ACTIVO,"1/2""",Agua Potable
CT-00001182,14-06-377-9947-000,AINARA CERVANTES,6162541 CBBA,Residencial,R2,24:F1:B8:D0:4A:DB,11/12/16,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00001186,12-08-387-5899-000,ANGELINO VALERA,7173596 CBBA,Preferencial,P,F1:FD:68:C8:7A:AF,04/17/18,ACTIVO,"2""",Agua Potable
CT-00001187,06-05-226-3424-000,ODALIS CARDONA BUENO,3367874 CBBA,Residencial,R2,0D:B9:6D:4C:D5:30,03/20/15,ACTIVO,"1/2""",Solo Agua
CT-00001195,07-12-322-6562-000,HORACIO LLANO MARTORELL,6280992 CBBA,Residencial,R3,30:05:3A:24:F1:85,12/24/24,MOROSO,"1/2""",Agua Potable
CT-00001199,07-04-248-4418-000,MARÃ­A DEL CARMEN MORENO HERNÃ¡NDEZ,3304987 CBBA,Comercial,C,62:22:54:FD:64:0D,10/15/24,ACTIVO,"1/2""",Solo Agua
CT-00001204,10-14-114-8073-000,ESTER MOLINA VILAPLANA,8269819 CBBA,Comercial,C,54:44:F6:68:F2:6B,10/09/19,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00001211,01-04-678-7680-000,HAROLDO PALACIOS RAMOS,4279714 CBBA,Residencial,R1,09:8F:C2:78:96:B2,03/05/26,ACTIVO,"3/4""",Agua + Alcantarillado
CT-00001235,08-16-573-2041-000,ÃNGELA IZAGUIRRE ROS,3550237 CBBA,Residencial,R3,F9:9C:AF:02:44:98,01/17/24,ACTIVO,"3/4""",Agua + Alcantarillado
CT-00001237,08-06-537-4172-000,OLGA ECHEVERRÃ­A,5693111 CBBA,Residencial,R3,7B:36:6C:74:2A:CD,04/01/19,ACTIVO,"3/4""",Agua Potable
CT-00001243,02-16-915-9278-000,ERNESTO EDGARDO ALVARADO MATEU,2863470 CBBA,Residencial,R3,6A:96:FE:0C:14:E4,05/02/14,ACTIVO,"1/2""",Agua Potable
CT-00001251,15-07-442-2203-000,JOSÃ© MANUEL ANGUITA,9622746 CBBA,Residencial,R3,05:C3:3B:D7:66:6E,05/09/13,ACTIVO,"1/2""",Solo Agua
CT-00001260,15-17-450-3906-000,PRISCILA CARBAJO URIARTE,8085799 CBBA,Residencial,R3,4E:43:2F:50:5B:93,11/09/17,MOROSO,"2""",Agua + Alcantarillado
CT-00001279,03-09-521-0087-000,ELIANA FRUTOS RAMÃ­REZ,8268518 CBBA,Residencial,R3,FB:76:2C:EC:AA:71,06/08/23,MOROSO,"1/2""",Agua Potable
CT-00001284,07-13-550-2606-000,ENCARNACION ROSELL BORRÃ¡S,5481358 CBBA,Residencial,R2,39:84:EE:40:44:18,02/19/17,MOROSO,"1/2""",Agua Potable
CT-00001314,02-14-484-2570-000,FIDEL PEREZ URRUTIA,5977141 CBBA,Residencial,R3,00:4D:76:BF:50:53,06/04/21,ACTIVO,"3/4""",Agua + Alcantarillado
CT-00001342,13-20-123-2314-000,ORIANA CALZADA-LOSADA,9207070 CBBA,Residencial,R4,B7:38:A8:B5:27:42,04/13/18,ACTIVO,"1/2""",Agua Potable
CT-00001346,06-13-545-3707-000,CLEMENTINA VILLAR PINEDA,2442337 CBBA,Residencial,R4,D0:A7:1C:36:AC:47,10/02/18,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00001390,15-05-331-4061-000,SALVADOR MARIÃ±O PÃ¡EZ,1347122 CBBA,Residencial,R4,01:A6:A5:47:0A:EF,11/03/13,ACTIVO,"3/4""",Agua Potable
CT-00001402,10-17-715-1992-000,GUSTAVO MUR GABALDÃ³N,2095977 CBBA,Residencial,R1,F8:9E:D2:92:F8:31,08/24/21,ACTIVO,"1""",Agua Potable
CT-00001406,08-15-399-5902-000,BLANCA POL-RICART,6254710 CBBA,Preferencial,P,5A:A9:EE:F1:67:04,07/08/17,ACTIVO,"1/2""",Agua Potable
CT-00001407,08-09-501-1722-000,DOMINGO MORILLO GARCÃ­A,3867028 CBBA,Residencial,R4,4E:1F:77:C2:69:02,08/26/23,ACTIVO,"1/2""",Solo Agua
CT-00001412,09-12-180-4531-000,PRISCILA FALCÃ³N,5553282 CBBA,Residencial,R2,CE:61:CD:B0:41:83,10/27/24,CORTADO,"1/2""",Agua + Alcantarillado
CT-00001416,01-19-112-7077-000,ELIGIO ÃNGEL CARPIO NAVARRO,9862490 CBBA,Residencial,R2,A1:99:EE:49:2B:88,04/12/17,ACTIVO,"1/2""",Agua Potable
CT-00001418,02-13-798-2300-000,CALIXTO MOLINA-CORRAL,3054430 CBBA,Residencial,R3,A4:B4:9E:20:46:FC,01/02/25,MOROSO,"1/2""",Solo Agua
CT-00001430,11-03-490-0280-000,HUMBERTO DEL ARAGÃ³N,3953176 CBBA,Preferencial,P,6F:BF:A3:2C:06:A2,09/23/17,ACTIVO,"3/4""",Agua Potable
CT-00001476,07-09-670-3585-000,ADORACIÃ³N VILLALOBOS TENA,2965384 CBBA,Residencial,R1,47:45:D5:8A:11:A4,11/01/20,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00001517,06-02-490-4879-000,RAÃºL JUAN MANUEL ARTIGAS ALONSO,7838916 CBBA,Residencial,R2,EE:68:3C:37:40:CD,06/08/14,ACTIVO,"3/4""",Agua + Alcantarillado
CT-00001520,10-12-157-9186-000,FIDEL JAVI ALFARO VICENS,2068145 CBBA,Residencial,R1,9C:51:43:4A:D6:9B,01/06/13,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00001528,11-09-306-2593-000,IRENE PEREIRA ROVIRA,5921931 CBBA,Residencial,R4,9A:1E:EE:4A:E0:DB,11/05/22,INACTIVO,"1/2""",Solo Agua
CT-00001543,12-15-955-4756-000,ELVIRA GALLEGO VIDAL,3488891 CBBA,Residencial,R4,76:11:1F:F1:D4:76,09/25/18,ACTIVO,"1/2""",Agua Potable
CT-00001553,02-14-005-6138-000,ROSENDA COBOS-ZAPATA,9395455 CBBA,Residencial,R2,04:F4:87:C3:77:98,01/09/19,ACTIVO,"3/4""",Agua + Alcantarillado
CT-00001558,04-05-236-4936-000,JAVIERA MANZANARES-VALENCIA,2090612 CBBA,Residencial,R3,5A:33:E9:7B:D3:AF,12/25/19,SUSPENDIDO,"1/2""",Agua + Alcantarillado
CT-00001561,11-11-272-8963-000,ARCELIA SANTAMARÃ­A ANDRADE,9034008 CBBA,Residencial,R2,D0:2E:28:A6:57:2C,02/05/12,ACTIVO,"1/2""",Agua Potable
CT-00001580,04-01-431-2396-000,LILIA AGUSTÃ­N,4992737 CBBA,Residencial,R2,29:33:4B:C8:C1:E2,11/15/20,ACTIVO,"3/4""",Agua Potable
CT-00001582,01-20-806-8207-000,YÃ©SICA CANDELARIA TAMAYO VENDRELL,5450122 CBBA,Comercial,C,13:94:B0:9D:21:EA,12/18/11,ACTIVO,"3/4""",Solo Agua
CT-00001583,15-10-729-8460-000,AMELIA LUCENA ÃLVARO,6481887 CBBA,Residencial,R1,69:03:19:40:67:AF,10/02/12,ACTIVO,"1/2""",Agua Potable
CT-00001594,02-19-900-2176-000,JOSE ANGEL URIARTE-BAYO,7588433 CBBA,Comercial,C,23:33:9C:45:64:32,07/14/21,ACTIVO,"1/2""",Agua Potable
CT-00001606,01-07-055-5668-000,PILAR VELÃ¡ZQUEZ GALLARDO,3258270 CBBA,Residencial,R3,29:89:29:58:95:C3,04/04/17,ACTIVO,"1/2""",Agua Potable
CT-00001608,08-20-759-3097-000,HERIBERTO CHICO ALEMANY,5918699 CBBA,Residencial,R2,FD:22:1E:32:4A:5B,12/04/17,ACTIVO,"1/2""",Agua Potable
CT-00001619,08-20-759-9126-000,PÃ­O VIANA LOBATO,1680298 CBBA,Residencial,R1,08:1D:A3:DB:21:83,03/02/13,MOROSO,"1/2""",Agua Potable
