numero_contrato,numero_catastro,titular_contrato,ci_titular,categoria,subcategoria,medidor_iot,fecha_contrato,estado_contrato,diametro_conexion,tipo_servicio
CT-00000014,07-04-236-0610-000,Juanita Romeu Trujillo,5088807 CBBA,Residencial,R3,62:3E:AF:0F:C8:CB,03/10/17,SUSPENDIDO,"1/2""",Agua Potable
CT-00000015,05-03-338-9262-000,Obdulia Hidalgo,1689237 CBBA,Residencial,R1,32:C3:E1:5E:C9:12,01/07/15,ACTIVO,"1/2""",Agua Potable
CT-00000016,15-17-213-2518-000,Benito Ayala Escobar,9185834 CBBA,Residencial,R4,5C:09:79:D3:57:67,06/22/22,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00000017,02-14-864-8870-000,Teresita Ricart Pellicer,8710904 CBBA,Residencial,R3,D0:B2:C4:63:AD:F1,10/31/21,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00000018,07-15-650-2636-000,Isidora Tomasa Cuevas Alfaro,7725863 CBBA,Residencial,R3,4C:E3:19:D0:11:D4,09/26/13,MOROSO,"1/2""",Agua + Alcantarillado
CT-00000019,06-02-145-5048-000,Benigna Morales Aragonés,2659054 CBBA,Residencial,R1,39:48:9E:D2:3E:10,04/07/26,ACTIVO,"1 1/2""",Agua + Alcantarillado
CT-00000020,06-03-696-9710-000,Josefa Llabrés Conde,7664226 CBBA,Residencial,R3,57:85:B7:A2:F9:42,03/04/12,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00000021,14-19-685-9191-000,Luisina Silvia Tudela Pedrero,2137625 CBBA,Residencial,R4,35:41:CF:DB:BB:93,05/07/13,SUSPENDIDO,"1/2""",Agua Industrial
CT-00000022,13-05-956-6253-000,Marisela Valbuena Amaya,8173203 CBBA,Preferencial,P,11:1D:F2:3D:02:FD,05/08/18,ACTIVO,"3/4""",Agua Potable
CT-00000023,12-18-569-3489-000,Macaria Gil Lucas,5715057 CBBA,Residencial,R2,68:88:F4:4D:4C:E1,01/04/15,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00000024,09-12-614-2646-000,Nereida Calatayud Quiroga,4847603 CBBA,Residencial,R2,20:2A:28:09:60:CA,04/05/16,ACTIVO,"1""",Solo Agua
CT-00000025,01-07-416-0510-000,Blanca Pozuelo Mate,5449025 CBBA,Residencial,R2,B6:2C:22:4A:A5:17,07/08/20,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00000026,05-15-710-8347-000,Rodrigo Cantón Ayala,2351973 CBBA,Residencial,R4,06:4A:8F:77:F4:AE,01/03/15,ACTIVO,"1/2""",Solo Agua
CT-00000027,03-02-858-4005-000,Paz Cámara Mateu,1047929 CBBA,Residencial,R4,EA:54:23:82:93:56,10/10/21,ACTIVO,"1/2""",Agua Potable
CT-00000028,03-12-355-9666-000,Cloe Zorrilla Antúnez,8093588 CBBA,Residencial,R4,6C:75:26:25:29:3F,06/10/24,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00000029,10-12-903-8671-000,Nando Piña Barros,9227041 CBBA,Residencial,R1,58:C5:B2:0F:5B:69,06/30/25,ACTIVO,"3""",Agua Potable
CT-00000030,15-12-058-5319-000,Marco Quiroga Hervia,5189252 CBBA,Residencial,R2,EB:FE:63:0F:A4:99,10/28/18,ACTIVO,"1/2""",Agua Potable
CT-00000031,09-03-066-9849-000,Consuelo del Olivé,8033756 CBBA,Comercial,C,14:8B:F1:A6:E3:54,09/03/14,ACTIVO,"1/2""",Agua Potable
CT-00000032,07-02-148-1442-000,Adolfo Baudelio Esparza Agustí,3614614 CBBA,Residencial,R2,CB:48:EA:C0:1F:D0,07/14/19,CORTADO,"3/4""",Agua Potable
CT-00000033,02-13-836-8895-000,Eutropio Camacho Samper,7186845 CBBA,Residencial,R2,02:53:E0:45:15:F7,12/31/24,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00000034,12-19-804-0426-000,Rosario Fortuny Pazos,4171441 CBBA,Preferencial,P,95:FA:C9:E2:52:55,02/01/25,ACTIVO,"1/2""",Agua Potable
CT-00000035,07-09-858-6724-000,Joel Nico Barrios Martín,3601196 CBBA,Residencial,R1,D2:78:25:15:B9:39,05/15/26,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00000036,15-02-860-4534-000,Vicente Pedrosa Pedrero,1124938 CBBA,Residencial,R3,D6:99:D5:1F:97:65,12/03/16,ACTIVO,"3/4""",Agua + Alcantarillado
CT-00000037,10-03-755-0542-000,Encarnita de Ocaña,7718125 CBBA,Residencial,R1,9F:5E:29:FD:C1:14,01/26/16,CORTADO,"3""",Agua + Alcantarillado
CT-00000038,05-18-256-9706-000,Evaristo Huertas Oliver,6768151 CBBA,Residencial,R3,39:30:6A:9A:DA:8A,03/30/26,ACTIVO,"1/2""",Agua Potable
CT-00000039,10-12-420-1562-000,Marta Tur Linares,7455780 CBBA,Residencial,R2,4F:E6:1D:33:66:46,06/18/17,ACTIVO,"1/2""",Agua Potable
CT-00000040,03-16-842-6298-000,Juanito Grande Fiol,4157654 CBBA,Residencial,R3,3F:7F:EB:A9:03:87,09/14/19,SUSPENDIDO,"1/2""",Agua + Alcantarillado
CT-00000041,15-13-881-5738-000,Lucio del Beltran,3343175 CBBA,Residencial,R3,1B:48:8D:3C:99:AE,12/06/21,ACTIVO,"1/2""",Agua Potable
CT-00000042,08-11-109-1178-000,Abraham Saldaña Aroca,2937881 CBBA,Residencial,R1,0A:C7:F7:52:82:87,02/19/18,MOROSO,"1/2""",Solo Agua
CT-00000043,04-20-072-4557-000,Cayetana Perea Rubio,7320957 CBBA,Residencial,R3,86:F4:23:7A:08:DF,10/03/15,ACTIVO,"1/2""",Agua Potable
CT-00000044,07-15-084-3028-000,Reyes Bermudez,1797915 CBBA,Residencial,R2,03:9C:0E:DC:9F:C1,04/12/24,ACTIVO,"1/2""",Solo Agua
CT-00000045,07-11-262-3504-000,Consuela Barco-Urrutia,1674499 CBBA,Residencial,R4,9C:06:10:EB:17:C8,03/24/26,MOROSO,"3/4""",Agua + Alcantarillado
CT-00000046,12-09-406-1315-000,Humberto Luna Alvarez,8313370 CBBA,Comercial,C,AE:FB:2A:BE:33:59,03/04/25,ACTIVO,"1/2""",Agua Potable
CT-00000047,13-20-987-3246-000,Ani Teresita Cadenas Roselló,8609360 CBBA,Residencial,R2,9A:DF:72:E5:03:37,01/05/12,ACTIVO,"1""",Agua Potable
CT-00000048,02-01-223-7891-000,Epifanio Pintor-Castells,8843820 CBBA,Comercial,C,F3:0F:EC:A5:5C:79,11/28/23,CORTADO,"1/2""",Agua + Alcantarillado
CT-00000049,07-17-279-3250-000,Albina Coronado Salmerón,2056239 CBBA,Residencial,R4,76:EB:4C:BF:3D:2C,06/28/13,ACTIVO,"3/4""",Agua Potable
CT-00000050,09-20-257-4908-000,AGUILAR TRIVE�O JORGE DILAN,9572964 CBBA,Residencial,R4,89:1E:1F:2F:9B:64,02/27/22,ACTIVO,"1/2""",Agua Potable
CT-00000051,05-03-772-4596-000,ALEGRE INOCENTE OSCAR DIEGO,4015752 CBBA,Residencial,R1,16:5E:4A:E7:72:B6,09/16/11,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00000052,01-16-056-9114-000,BENAVIDES VARGAS IGNACIO ANTONIO,4779875 CBBA,Residencial,R1,5D:B4:C0:1E:3C:70,03/29/25,ACTIVO,"1/2""",Agua Potable
CT-00000053,01-15-985-3545-000,CAMACHO BLANCO FABRICIO,6741958 CBBA,Residencial,R4,50:04:2F:06:EF:EC,02/18/24,ACTIVO,"2""",Agua + Alcantarillado
CT-00000054,06-17-713-2484-000,CLAROS GUTIERREZ VICTOR HUGO,4630764 CBBA,Residencial,R2,82:DB:90:12:11:22,02/05/13,ACTIVO,"1/2""",Agua Potable
CT-00000055,08-03-230-9165-000,ESPEJO AGUILERA JESUS DIEGO,3120060 CBBA,Social,S,8C:95:84:98:74:D7,09/28/14,ACTIVO,"3/4""",Agua Potable
CT-00000056,08-10-808-8311-000,FLORES MAMANI ALEX,8382607 CBBA,Residencial,R4,D6:1C:AF:79:AC:B8,10/28/22,ACTIVO,"1/2""",Solo Agua
CT-00000057,13-15-492-1594-000,GARCIA CHAMBILLA LUIS MARIO,3428294 CBBA,Residencial,R2,9D:02:F5:07:45:EF,11/19/16,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00000058,14-11-118-4679-000,GARCIA SARZURI ANETT AZUCENA,4724547 CBBA,Social,S,50:32:AB:BD:3B:CD,05/26/11,MOROSO,"1/2""",Agua + Alcantarillado
CT-00000059,15-03-847-4888-000,GUTIERREZ CHAMBI PABLO ALFREDO,7393036 CBBA,Comercial,C,53:29:21:B7:F1:78,08/11/11,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00000060,08-18-514-4929-000,GUZMAN HUCHANI PABLO MAURICIO,7169410 CBBA,Residencial,R2,26:11:66:DB:43:93,02/13/12,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00000061,11-04-437-0980-000,GUZMAN RAMOS JAIRO MATIAS,7048299 CBBA,Residencial,R4,69:0E:04:B9:D7:3B,08/10/19,ACTIVO,"1/2""",Agua Potable
CT-00000062,08-10-462-4444-000,ILLANES CABALLERO JOEL ALEXANDER,7585403 CBBA,Comercial,C,C9:C8:3A:12:88:13,07/20/23,SUSPENDIDO,"1/2""",Agua + Alcantarillado
CT-00000063,15-06-977-5876-000,LAREDO HINOJOSA LUZ ESMERALDA,2101668 CBBA,Residencial,R4,15:95:E4:DD:F3:25,01/10/15,ACTIVO,"1""",Agua Potable
CT-00000064,03-07-684-1473-000,MARTINEZ DEL CASTILLO MILTON RAEL,4957724 CBBA,Residencial,R2,4E:E8:B9:67:72:B5,09/16/23,ACTIVO,"1""",Agua Potable
CT-00000065,01-05-508-5423-000,MENDEZ CHAMBI PABEL IVAN,6806045 CBBA,Preferencial,P,10:80:B8:6C:FA:DB,05/16/25,ACTIVO,"1/2""",Agua Industrial
CT-00000066,06-14-639-7198-000,RAMIREZ VISCARRA LUIS FERNANDO,6863907 CBBA,Residencial,R2,4B:1A:82:82:1F:C4,09/15/12,CORTADO,"1/2""",Agua + Alcantarillado
CT-00000067,04-06-885-4111-000,SANDOVAL BERRIOS DEVON ANDERSON,2770800 CBBA,Residencial,R2,11:00:B3:B7:52:DE,09/13/17,ACTIVO,"1/2""",Agua Potable
CT-00000068,03-12-478-1805-000,TOCO YUCRA NICOLAS,2899392 CBBA,Social,S,E4:C1:4B:76:4B:DE,06/11/22,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00000069,13-07-764-8701-000,TRIGO MALDONADO ELSA VALENTINA,7273038 CBBA,Residencial,R2,3A:C4:85:EB:63:67,11/10/16,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00000070,03-05-949-8062-000,VILLARROEL CHOQUE SEBASTIAN RODRIGO,6782345 CBBA,Residencial,R1,83:29:3B:D3:9E:94,03/22/20,ACTIVO,"1/2""",Agua Potable
CT-00000071,08-20-771-9806-000,ALMAQUIO MELGAR DENIS HAMILTON,2235619 CBBA,Residencial,R2,54:79:02:71:A5:64,02/19/22,ACTIVO,"1/2""",Agua Industrial
CT-00000072,14-09-863-6629-000,APAZA ESPINOZA CRISTIAN,1999123 CBBA,Residencial,R2,57:95:AF:28:DE:27,08/29/14,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00000073,04-05-835-7121-000,BALDIVIEZO ACHACOLLO ADRIAN ANTHONY,9349008 CBBA,Residencial,R2,74:D2:C6:4B:0D:FC,05/28/18,MOROSO,"1/2""",Agua + Alcantarillado
CT-00000074,14-04-472-6778-000,COCA ALVAREZ MAURICIO GERSON,5850617 CBBA,Comercial,C,D4:67:0B:EB:0F:05,11/28/15,ACTIVO,"3/4""",Agua Potable
CT-00000075,04-03-342-1034-000,DIAZ ZULETA ERICK JOEL,1261431 CBBA,Preferencial,P,54:BC:C6:B1:9C:BF,10/24/22,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00000076,01-18-795-9797-000,ESCOBAR POZO DANIEL,7553215 CBBA,Comercial,C,68:9F:56:FC:73:5E,12/19/20,ACTIVO,"1 1/2""",Agua + Alcantarillado
CT-00000077,14-18-666-9919-000,FERRUFINO ORELLANA FRANCO NAHUEL,2442575 CBBA,Residencial,R1,DA:B2:B9:51:5E:66,07/06/18,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00000078,06-20-142-3401-000,GARCIA COPA NELSON DANIEL,2664759 CBBA,Comercial,C,31:6A:7E:C1:78:8C,02/07/22,ACTIVO,"1""",Agua + Alcantarillado
CT-00000079,13-15-596-4349-000,MENA MOLINA MARCELO,8509104 CBBA,Residencial,R3,23:BC:6E:84:26:0C,08/10/17,MOROSO,"1""",Agua Potable
CT-00000080,10-12-365-6474-000,MENDIETA JIMENEZ SEBASTIAN ERICK,2794834 CBBA,Residencial,R1,60:A1:DB:10:CD:BD,10/03/13,ACTIVO,"3/4""",Agua + Alcantarillado
CT-00000081,13-08-610-9390-000,MOLLO VARGAS ISRAEL,3649509 CBBA,Residencial,R4,AE:99:9D:B0:40:ED,04/02/25,ACTIVO,"1/2""",Solo Agua
CT-00000082,08-03-055-7733-000,QUINTEROS GARCIA JARED NATHANAEL JUAN,5115733 CBBA,Residencial,R2,36:EF:F7:D4:7A:5F,04/21/16,ACTIVO,"3/4""",Agua + Alcantarillado
CT-00000083,03-11-675-5914-000,SANABRIA SUAREZ MICHAEL,7932967 CBBA,Residencial,R1,DF:FD:5E:07:2A:ED,05/16/18,MOROSO,"1/2""",Agua + Alcantarillado
CT-00000084,11-08-891-9741-000,VALDIVIA RODRIGUEZ ROLANDO,6968139 CBBA,Residencial,R3,83:70:26:A0:E8:5C,01/02/23,SUSPENDIDO,"1/2""",Agua Potable
CT-00000085,14-19-218-4528-000,VARGAS VARGAS HERIBERTO,6379654 CBBA,Residencial,R2,3B:BB:E0:8B:C5:5D,06/03/20,ACTIVO,"1/2""",Agua Potable
CT-00000086,03-17-903-6774-000,BALDERRAMA ALBA DANIEL HENRY,9213593 CBBA,Residencial,R4,97:26:3A:F5:10:56,01/10/25,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00000087,05-13-892-0176-000,HINOJOSA CABRERA YANNEL ERIKA,8897503 CBBA,Industrial,I,33:94:49:BD:5D:7B,09/29/25,ACTIVO,"2""",Agua Potable
CT-00000088,13-12-937-7376-000,LEA�OS RUDON SERGIO ANDRES,7805781 CBBA,Residencial,R2,BB:F0:DF:24:15:2E,03/02/22,ACTIVO,"1/2""",Agua Potable
CT-00000089,10-08-872-1337-000,MERUVIA GUERRA ALEJANDRO IGNACIO,8793092 CBBA,Residencial,R4,AB:3A:9C:FC:5B:52,09/01/15,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00000090,03-03-598-9292-000,MONEGRO VARGAS MANUEL DAVID,8081517 CBBA,Residencial,R1,33:79:04:80:C0:11,05/20/21,MOROSO,"1/2""",Agua Potable
CT-00000091,01-20-315-3503-000,PAREJA ALMENDRAS SAMUEL REYNALDO,9411558 CBBA,Residencial,R2,34:99:44:4C:93:C0,02/06/23,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00000092,15-17-258-0786-000,REYES PAREDES ANGEL RODRIGO,1793327 CBBA,Residencial,R3,60:11:F0:98:B1:C3,02/15/16,ACTIVO,"3/4""",Agua Potable
CT-00000093,09-11-757-5049-000,SANCHEZ LEA�O ANGELA NICOLE,3837370 CBBA,Residencial,R3,51:49:1F:EC:4D:A6,01/04/20,ACTIVO,"1/2""",Agua Industrial
CT-00000094,15-14-158-6743-000,SORIA FLORES CARLOS,9833142 CBBA,Social,S,B0:E9:D9:E3:86:E5,02/15/15,SUSPENDIDO,"1/2""",Agua Potable
CT-00000095,03-10-526-8865-000,VALLEJOS ALIAGA JOSE GABRIEL,5294512 CBBA,Residencial,R4,F0:32:4D:09:F5:D4,05/22/13,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00000096,15-15-330-1863-000,VARGAS GARCIA DANTE ARIEL,5982237 CBBA,Residencial,R2,D9:55:66:23:52:AE,03/15/24,CORTADO,"1/2""",Solo Agua
CT-00000097,06-12-726-3423-000,GUZMAN OPORTO LUIS FERNANDO,5836649 CBBA,Residencial,R3,6B:9F:7E:E3:82:8C,09/05/19,ACTIVO,"1/2""",Agua Potable
CT-00000098,15-19-469-0110-000,SEBASTIAN MATEO CABRERA GOMEZ,3276013 CBBA,Comercial,C,34:7D:86:92:2E:5F,04/23/23,ACTIVO,"3""",Agua + Alcantarillado
CT-00000099,07-06-383-0958-000,ESTEFANIA MARCELA LAREDA HINOJOSA,9184016 CBBA,Residencial,R1,74:4C:0D:BA:1F:E6,06/11/24,ACTIVO,"1/2""",Agua Potable
CT-00000100,06-17-010-1729-000,EBVAM BRANDON ZAMBRANA VIA,8419674 CBBA,Comercial,C,AF:6E:08:A5:76:66,04/04/22,SUSPENDIDO,"1/2""",Agua Industrial
CT-00000101,02-04-905-7688-000,LOPEZ TICLLA JOEL ISRAEL,1501547 CBBA,Residencial,R2,BA:1E:01:36:67:54,07/17/20,SUSPENDIDO,"1/2""",Agua Potable
CT-00000102,10-12-645-6076-000,AGUILAR ZAMBRANA JHONATAN ANTONIO,9542137 CBBA,Residencial,R2,85:F0:87:F7:06:E3,06/19/24,MOROSO,"1/2""",Agua + Alcantarillado
CT-00000103,05-10-312-0925-000,LOPEZ TORREZ ALEJANDRO,2958080 CBBA,Comercial,C,B2:BF:F7:07:4B:43,06/19/13,MOROSO,"1/2""",Agua + Alcantarillado
CT-00000104,04-01-024-5960-000,IAN ETHAN SANDOVAL COCA,8694926 CBBA,Residencial,R3,9A:F9:5E:FC:79:91,11/07/18,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00000105,07-02-692-8052-000,CHOQUE CONDORI ANGEL EMERSON,8430961 CBBA,Residencial,R4,0C:BB:42:58:33:13,04/21/13,ACTIVO,"3/4""",Agua + Alcantarillado
CT-00000106,11-06-226-4889-000,PORTUGUEZ MOREIRA KEVIN,6304157 CBBA,Preferencial,P,12:94:83:B5:B5:B3,04/09/12,ACTIVO,"1/2""",Agua Potable
CT-00000107,15-20-015-6741-000,RENE ZUBIETA,2215312 CBBA,Residencial,R3,D8:5C:56:61:2E:DA,09/06/11,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00000108,02-01-393-1714-000,HEREDIA MIER DEMIAN,8370653 CBBA,Comercial,C,EE:E9:2E:81:E5:1A,06/10/25,ACTIVO,"3/4""",Agua Potable
CT-00000109,07-08-943-1833-000,SEBASTIAN SANTIAGO ALVAREZ TITO,1090522 CBBA,Residencial,R1,5D:DE:6B:16:7D:4D,08/16/22,SUSPENDIDO,"1/2""",Agua + Alcantarillado
CT-00000110,05-06-597-6964-000,ANDRE TERRAZAS ROCA,1098496 CBBA,Residencial,R2,3E:AC:2A:88:F5:44,10/12/15,ACTIVO,"1/2""",Agua Industrial
CT-00000111,15-05-946-6858-000,SANTIAGO ROJAS CLAROS,1846736 CBBA,Residencial,R4,09:B0:13:9A:13:97,07/04/22,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00000112,09-15-220-1553-000,ROLANDO CONDORI,6048243 CBBA,Residencial,R1,03:4B:81:3A:9F:CD,11/26/23,ACTIVO,"3/4""",Agua + Alcantarillado
CT-00000113,07-15-175-7075-000,LEONARDO FABIO SALVATIERRA GARRO,6334300 CBBA,Residencial,R1,A0:6A:3B:A8:AA:C2,06/04/18,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00000114,06-19-962-8706-000,BECERRA QUIROGA RODRIGO GUSTAVO,1309422 CBBA,Residencial,R2,72:C1:CC:59:B2:3E,05/26/15,INACTIVO,"1/2""",Agua Potable
CT-00000115,03-03-470-5876-000,BELEN VENIZ CRISTIAN FREDDY,2722786 CBBA,Residencial,R3,47:71:C3:DF:82:F6,08/08/20,ACTIVO,"1/2""",Agua Potable
CT-00000116,04-03-348-0654-000,BOHRT VERA SANTIAGO AGUSTIN,1885473 CBBA,Residencial,R3,44:56:5B:4F:C2:B3,09/04/21,SUSPENDIDO,"1/2""",Agua Potable
CT-00000117,15-05-697-6959-000,ENCINAS AGUILAR MARIEL,2629562 CBBA,Residencial,R3,2D:E6:8F:07:F0:F3,09/10/13,ACTIVO,"1/2""",Agua Potable
CT-00000118,10-14-555-1323-000,IGNACIO MAMANI RONNY,9008385 CBBA,Residencial,R2,2F:60:A3:07:84:23,03/25/18,ACTIVO,"1/2""",Solo Agua
CT-00000119,11-01-854-3486-000,LOPEZ SANJINEZ BRUNO ROLANDO,4285727 CBBA,Residencial,R3,7D:D5:CE:C1:14:74,07/22/15,ACTIVO,"3/4""",Agua Industrial
CT-00000120,01-12-416-3011-000,LOREDO ARRAZOLA DIEGO IGNACIO,1107788 CBBA,Residencial,R1,E9:06:1C:D1:54:EF,08/07/16,MOROSO,"1/2""",Agua + Alcantarillado
CT-00000121,09-09-031-1002-000,PIMIENTA ZAPATA LEONARDO SERGIO,2208617 CBBA,Preferencial,P,75:DA:D6:EE:B0:3F,01/18/20,ACTIVO,"3/4""",Agua Potable
CT-00000122,08-20-357-1174-000,PORTILLO SANDOVAL PATRICIA NICOLE,9113959 CBBA,Residencial,R4,E1:74:01:7C:93:82,01/26/19,ACTIVO,"1""",Agua + Alcantarillado
CT-00000123,13-09-169-5835-000,RAMALLO CESPEDES ALVARO ISMAEL,2537894 CBBA,Residencial,R1,64:A8:07:8D:33:4D,01/25/25,ACTIVO,"1/2""",Agua Potable
CT-00000124,10-20-788-4495-000,RAMIREZ OLMOS SERGHI MANEL,2700478 CBBA,Residencial,R2,56:36:CB:E4:EF:20,12/09/25,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00000125,06-05-275-6266-000,RIVERA KEILA AYLIN,4537712 CBBA,Preferencial,P,F6:2A:76:32:B0:FA,10/28/13,ACTIVO,"1""",Agua Potable
CT-00000126,01-14-696-8227-000,RODRIGUEZ QUISPE JHON RICHARD,8451101 CBBA,Residencial,R1,51:33:16:82:43:E7,07/14/17,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00000127,03-07-048-8143-000,ROMERO CHURA MASSHIEL CAMILA,4534368 CBBA,Residencial,R1,B0:8B:9A:6A:B6:43,01/13/13,MOROSO,"1/2""",Agua Potable
CT-00000128,06-04-536-9094-000,ROMERO ROCHA DIEGO ALEXANDER,2273065 CBBA,Comercial,C,26:D8:FA:4A:7B:F8,01/12/16,ACTIVO,"3/4""",Agua Potable
CT-00000129,09-19-635-5718-000,SOLIZ JARAMILLO LUIS SANTIAGO,9793655 CBBA,Residencial,R3,AB:42:0D:36:6B:E9,10/21/20,CORTADO,"1/2""",Agua + Alcantarillado
CT-00000130,10-07-068-3340-000,VILLANUEVA SERRANO BENJAMIN,1735793 CBBA,Preferencial,P,93:5F:19:15:F2:72,05/06/23,ACTIVO,"1/2""",Agua Potable
CT-00000131,10-03-715-0138-000,ALVAREZ LAUREANO LIXINIEL,6106448 CBBA,Comercial,C,EB:5C:4B:5E:F7:59,09/07/24,ACTIVO,"1/2""",Agua Potable
CT-00000132,04-15-234-9823-000,CALIZAYA LANZA MAYTE,3387868 CBBA,Comercial Especial,CE,4B:39:1D:28:3E:20,04/25/19,ACTIVO,"2""",Agua Potable
CT-00000133,02-03-949-9246-000,CAMAYO ROQUE LUIS MIGUEL,6034438 CBBA,Preferencial,P,CD:DF:C7:0C:01:1F,01/30/15,INACTIVO,"1/2""",Agua + Alcantarillado
CT-00000134,12-01-818-9462-000,CRUZ ANDERSON,3740339 CBBA,Residencial,R4,3D:EA:BE:4D:3E:3E,02/20/20,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00000135,03-10-631-4961-000,CRUZ PINTO JOSUE,8926308 CBBA,Residencial,R3,5A:1D:13:38:7A:D1,08/15/23,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00000136,05-03-292-0475-000,D�AZ CASTILLO MAYCOL JAMPIER,5089995 CBBA,Residencial,R3,E5:A0:8A:57:9F:19,03/04/17,ACTIVO,"1/2""",Solo Agua
CT-00000137,14-14-572-8759-000,FLORES ABNER,3436962 CBBA,Residencial,R2,DC:46:79:63:42:5F,08/25/16,ACTIVO,"1/2""",Solo Agua
CT-00000138,14-15-036-0968-000,KANAN COCA JAVIER,8856333 CBBA,Residencial,R4,20:61:F7:C0:68:06,01/24/26,MOROSO,"1/2""",Agua + Alcantarillado
CT-00000139,07-10-137-4970-000,MEDRANO LOPEZ HUGO,4886525 CBBA,Residencial,R1,5E:A1:79:29:D2:D5,10/20/20,MOROSO,"1/2""",Agua Potable
CT-00000140,09-01-601-9855-000,MELGAREJO TERAN CAROLINA,5734184 CBBA,Preferencial,P,1A:6F:1A:50:DD:C8,12/01/25,CORTADO,"1/2""",Solo Agua
CT-00000141,06-17-458-3435-000,OLIVERA CLAROS MARIANA,6891363 CBBA,Residencial,R2,A5:9B:E1:71:28:D4,08/04/11,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00000142,10-08-797-8650-000,RIVERA JORGE LUIS,4245891 CBBA,Residencial,R2,F1:2F:27:4A:96:26,09/08/13,CORTADO,"1/2""",Agua Potable
