numero_catastro,propietario,ci,direccion,zona,distrito,manzano,lote,superficie_terreno,area_construida,uso_suelo,matricula_ddrr,valor_catastral,impuesto_anual,latitud,longitud
08-08-036-0897-000,Hernando Núñez,9900139 CBBA,Av. Circunvalación N° 821,HIPODROMO,6,828,25,312,247,Salud,3.01.1.49.1039916,595296,892.94,-17.446894,-66.131692
02-06-536-1569-000,Hernando Núñez,9900139 CBBA,Av. Blanco Galindo N° 588,MESADILLA,9,364,8,254,201,Comercial,3.01.1.81.3180808,525018,787.53,-17.413617,-66.150692
03-07-684-1473-000,Hernando Núñez,9900139 CBBA,Av. Circunvalación N° 582,ARANJUEZ ALTO,3,878,31,991,176,Industrial,3.01.1.42.3274476,2303084,3454.63,-17.449836,-66.166061
08-03-383-9487-000,Ester Roda-Guerra,9120407 CBBA,Av. Beijing N° 670,VALLE HERMOSO,10,169,23,961,652,Residencial,3.01.1.74.3917219,2190119,3285.18,-17.451356,-66.101547
04-20-788-7562-000,Ester Roda-Guerra,9120407 CBBA,Av. Blanco Galindo N° 3299,KHARA KHARA ARRUMANI,8,237,41,383,363,Industrial,3.01.1.62.3298860,585607,878.41,-17.348357,-66.171106
03-19-331-4852-000,Ester Roda-Guerra,9120407 CBBA,Av. Melchor Pérez N° 1241,ALALAY SUD,15,115,20,1038,964,Educativo,3.01.1.24.1939284,1914072,2871.11,-17.38294,-66.201157
02-13-728-8550-000,Ester Roda-Guerra,9120407 CBBA,Av. América N° 1524,COÑA COÑA,12,258,13,280,196,Salud,3.01.1.77.2193450,294000,441.0,-17.425284,-66.152907
13-12-305-9372-000,Ester Roda-Guerra,9120407 CBBA,Av. Circunvalación N° 238,COÑA COÑA,9,803,14,914,747,Residencial,3.01.1.93.8656542,1954132,2931.2,-17.436516,-66.110693
08-05-929-5251-000,Plácido Águila,8554465 CBBA,Av. Beijing N° 1721,LA CHIMBA,14,954,47,928,387,Educativo,3.01.1.61.5259706,1610080,2415.12,-17.456365,-66.10839
04-15-965-1300-000,Plácido Águila,8554465 CBBA,Av. Melchor Pérez N° 625,TICTI,12,474,10,526,78,Educativo,3.01.1.20.4665999,1300272,1950.41,-17.384274,-66.205546
12-13-395-5245-000,Plácido Águila,8554465 CBBA,Av. Villazón N° 4291,SUDOESTE,10,27,39,437,94,Mixto,3.01.1.51.7642148,697452,1046.18,-17.397532,-66.201773
06-03-633-4828-000,Plácido Águila,8554465 CBBA,Av. Melchor Pérez N° 459,MESADILLA,12,513,32,483,265,Educativo,3.01.1.98.4879278,774732,1162.1,-17.364851,-66.165792
01-18-498-0966-000,Juan Manuel Jaume Casal,5415916 CBBA,Av. América N° 3439,JAIHUAYCO,4,64,17,1008,528,Residencial,3.01.1.32.9991513,1617840,2426.76,-17.42031,-66.153622
06-02-672-0071-000,Juan Manuel Jaume Casal,5415916 CBBA,Av. Melchor Pérez N° 4596,VALLE HERMOSO,15,814,22,719,289,Comercial,3.01.1.76.9309627,1474669,2212.0,-17.379139,-66.159456
13-09-149-4556-000,Juan Manuel Jaume Casal,5415916 CBBA,Av. América N° 3901,ARANJUEZ ALTO,6,642,20,1018,660,Comercial,3.01.1.45.1012718,1635926,2453.89,-17.369592,-66.17654
03-17-058-3344-000,Rafael Tomas Sevillano,7133981 CBBA,Av. Blanco Galindo N° 3343,MUYURINA,14,967,3,1005,120,Salud,3.01.1.33.5820752,758775,1138.16,-17.399351,-66.2041
02-02-396-2535-000,Rafael Tomas Sevillano,7133981 CBBA,Av. América N° 4827,TUPURAYA,10,129,2,1134,455,Comercial,3.01.1.39.5895929,2833866,4250.8,-17.377033,-66.183837
01-14-773-3220-000,Rafael Tomas Sevillano,7133981 CBBA,Av. Beijing N° 3306,CHIQUICOLLO,6,144,41,914,145,Residencial,3.01.1.60.1991418,863730,1295.6,-17.377558,-66.185204
11-03-215-0931-000,Margarita Calderón Calatayud,3219968 CBBA,Av. Blanco Galindo N° 1516,KHARA KHARA ARRUMANI,2,602,20,488,212,Salud,3.01.1.62.3680680,1119472,1679.21,-17.410692,-66.167456
09-05-184-8313-000,Margarita Calderón Calatayud,3219968 CBBA,Av. Villazón N° 935,CALA CALA,11,760,34,448,369,Residencial,3.01.1.20.4424936,748608,1122.91,-17.455697,-66.14323
08-09-261-3617-000,Margarita Calderón Calatayud,3219968 CBBA,Av. Villazón N° 4997,TAMBORADA PUKARITA,12,480,47,460,220,Industrial,3.01.1.18.5824065,998200,1497.3,-17.440431,-66.165304
14-20-178-5071-000,Margarita Calderón Calatayud,3219968 CBBA,Av. Blanco Galindo N° 3779,MUYURINA,15,774,44,999,835,Residencial,3.01.1.12.5514787,2334663,3501.99,-17.339683,-66.170809
05-19-425-7085-000,Margarita Calderón Calatayud,3219968 CBBA,Av. América N° 242,SUDESTE,9,610,40,702,180,Comercial,3.01.1.12.1648300,1486134,2229.2,-17.355952,-66.16962
11-13-088-8041-000,Ernesto Valverde Muro,5761422 CBBA,Av. Melchor Pérez N° 4489,VALLE HERMOSO,8,36,3,443,258,Educativo,3.01.1.17.3033121,768605,1152.91,-17.429829,-66.119319
12-08-912-3676-000,Ernesto Valverde Muro,5761422 CBBA,Av. Beijing N° 3995,COÑA COÑA,8,664,6,294,110,Residencial,3.01.1.42.6649659,507444,761.17,-17.363936,-66.156736
04-18-957-3752-000,Ernesto Valverde Muro,5761422 CBBA,Av. Villazón N° 2295,SUDOESTE,1,4,7,413,376,Mixto,3.01.1.64.8968478,420434,630.65,-17.45216,-66.112292
05-12-919-1540-000,Ernesto Valverde Muro,5761422 CBBA,Av. Beijing N° 1289,MESADILLA,1,577,44,328,175,Salud,3.01.1.92.1846260,708480,1062.72,-17.432254,-66.133792
07-08-556-1004-000,Basilio Jordán Cisneros,8037235 CBBA,Av. Blanco Galindo N° 4011,KHARA KHARA ARRUMANI,10,793,34,1083,207,Residencial,3.01.1.90.3640702,833910,1250.87,-17.433391,-66.121079
08-12-760-4578-000,Basilio Jordán Cisneros,8037235 CBBA,Av. Melchor Pérez N° 2282,LA CHIMBA,15,137,45,426,304,Industrial,3.01.1.33.8135420,515460,773.19,-17.401238,-66.208146
02-01-264-1956-000,Basilio Jordán Cisneros,8037235 CBBA,Av. América N° 1983,PUKARA GRANDE NORTE,11,172,14,1043,640,Residencial,3.01.1.87.4868376,1538425,2307.64,-17.347643,-66.165617
03-01-866-2379-000,Basilio Jordán Cisneros,8037235 CBBA,Av. Villazón N° 4687,ALALAY NORTE,5,897,14,865,485,Educativo,3.01.1.88.5905132,979180,1468.77,-17.427937,-66.127556
01-14-115-3972-000,Basilio Jordán Cisneros,8037235 CBBA,Av. Circunvalación N° 1076,HIPODROMO,6,504,34,562,539,Residencial,3.01.1.49.6563983,745774,1118.66,-17.391934,-66.132542
10-04-121-7256-000,Tito Vélez Benitez,5831067 CBBA,Av. América N° 2046,KHARA KHARA ARRUMANI,15,318,20,1127,364,Comercial,3.01.1.62.2510646,955696,1433.54,-17.389291,-66.161454
09-01-013-0478-000,Tito Vélez Benitez,5831067 CBBA,Av. Melchor Pérez N° 3600,KHARA KHARA ARRUMANI,2,103,21,1125,760,Industrial,3.01.1.85.6244898,2470500,3705.75,-17.390467,-66.169338
11-09-175-2611-000,Tito Vélez Benitez,5831067 CBBA,Av. América N° 1486,SARCOBAMBA,3,482,47,207,84,Educativo,3.01.1.30.8511025,480654,720.98,-17.459178,-66.10806
13-07-822-9661-000,Tito Vélez Benitez,5831067 CBBA,Av. Beijing N° 196,CHIQUICOLLO,13,194,27,550,164,Mixto,3.01.1.71.2718918,1188000,1782.0,-17.458443,-66.124284
10-13-511-8480-000,Raimundo Edgardo Escribano Tomas,4001978 CBBA,Av. Blanco Galindo N° 1714,LA CHIMBA,15,706,19,386,190,Industrial,3.01.1.99.9025155,610652,915.98,-17.447018,-66.113885
08-07-980-9732-000,Raimundo Edgardo Escribano Tomas,4001978 CBBA,Av. Beijing N° 3142,TICTI,6,849,49,834,718,Mixto,3.01.1.17.2566559,693888,1040.83,-17.394713,-66.16732
05-15-074-2060-000,Toni del Alemán,3946728 CBBA,Av. Melchor Pérez N° 1504,JAIHUAYCO,4,827,48,1058,490,Educativo,3.01.1.26.6702351,2175248,3262.87,-17.40741,-66.145168
11-20-981-3208-000,Toni del Alemán,3946728 CBBA,Av. Villazón N° 2305,LACMA,3,557,17,1120,531,Salud,3.01.1.30.4604402,1106560,1659.84,-17.405959,-66.200849
14-08-050-9068-000,Toni del Alemán,3946728 CBBA,Av. Beijing N° 1457,KHARA KHARA ARRUMANI,5,467,13,818,438,Residencial,3.01.1.73.8260357,1352154,2028.23,-17.433282,-66.169967
08-06-213-2118-000,Toni del Alemán,3946728 CBBA,Av. Villazón N° 3400,USPHA USPHA,6,563,39,869,831,Educativo,3.01.1.48.8523595,524876,787.31,-17.357946,-66.144876
15-02-186-8888-000,Toni del Alemán,3946728 CBBA,Av. Blanco Galindo N° 1533,TICTI,8,175,25,1039,1001,Comercial,3.01.1.54.8118691,2479054,3718.58,-17.456906,-66.116861
07-12-064-4450-000,Hugo Benavent Miró,9503606 CBBA,Av. Circunvalación N° 2861,TUPURAYA,15,761,4,307,53,Industrial,3.01.1.33.5587185,451290,676.94,-17.35109,-66.181653
14-18-200-7732-000,Hugo Benavent Miró,9503606 CBBA,Av. Villazón N° 121,MESADILLA,12,325,50,559,295,Salud,3.01.1.23.6813167,501982,752.97,-17.437518,-66.11996
01-18-310-4896-000,María Jesús Mariño Armengol,1547496 CBBA,Av. Melchor Pérez N° 3915,LA CHIMBA,2,663,46,257,138,Mixto,3.01.1.69.3544379,154714,232.07,-17.411884,-66.127806
06-16-861-4512-000,María Jesús Mariño Armengol,1547496 CBBA,Av. Blanco Galindo N° 3495,MUYURINA,3,419,8,349,197,Mixto,3.01.1.36.6142303,507795,761.69,-17.37233,-66.194362
08-13-707-3166-000,María Jesús Mariño Armengol,1547496 CBBA,Av. Blanco Galindo N° 2285,NORESTE,5,778,41,539,506,Salud,3.01.1.97.9156266,403172,604.76,-17.414122,-66.167441
08-17-127-6906-000,Perlita Rozas Camps,7645056 CBBA,Av. América N° 1393,PUKARA GRANDE OESTE,7,851,9,782,688,Industrial,3.01.1.69.4009431,1897914,2846.87,-17.419059,-66.170228
10-16-512-8896-000,Perlita Rozas Camps,7645056 CBBA,Av. Beijing N° 2738,CALA CALA,5,786,43,868,609,Mixto,3.01.1.73.3098014,1986852,2980.28,-17.364967,-66.181946
15-01-156-3183-000,Perlita Rozas Camps,7645056 CBBA,Av. América N° 2422,LAS CUADRAS,6,953,27,831,242,Industrial,3.01.1.15.9410440,1297191,1945.79,-17.466847,-66.142528
02-19-918-1619-000,Perlita Rozas Camps,7645056 CBBA,Av. Villazón N° 1150,CONDEBAMBA,11,103,34,675,410,Mixto,3.01.1.79.6500186,561600,842.4,-17.455874,-66.10722
02-04-107-5772-000,Josefa Alcázar Calderón,6115295 CBBA,Av. América N° 3404,ARANJUEZ ALTO,2,108,49,193,60,Salud,3.01.1.53.4561287,154786,232.18,-17.429814,-66.173806
03-09-113-2727-000,Josefa Alcázar Calderón,6115295 CBBA,Av. Circunvalación N° 915,KHARA KHARA ARRUMANI,10,23,25,669,497,Comercial,3.01.1.67.7004958,835581,1253.37,-17.350244,-66.177762
05-06-591-7595-000,Josefa Alcázar Calderón,6115295 CBBA,Av. América N° 2987,NORESTE,4,273,40,552,250,Residencial,3.01.1.11.4352482,490728,736.09,-17.406635,-66.132605
01-03-525-2585-000,Carmelo Juliá,5957210 CBBA,Av. Blanco Galindo N° 528,MUYURINA,15,568,14,839,98,Industrial,3.01.1.18.7547061,1141040,1711.56,-17.375614,-66.180082
03-16-430-5141-000,Carmelo Juliá,5957210 CBBA,Av. Melchor Pérez N° 3051,QUERU QUERU,1,640,38,229,163,Salud,3.01.1.45.4546420,177704,266.56,-17.37997,-66.197173
13-02-251-8305-000,Carmelo Juliá,5957210 CBBA,Av. Melchor Pérez N° 4911,LA CHIMBA,13,100,24,1082,79,Mixto,3.01.1.25.2813138,785532,1178.3,-17.355973,-66.174426
10-16-996-5409-000,Carmelo Juliá,5957210 CBBA,Av. Villazón N° 3648,HIPODROMO,11,244,47,707,665,Comercial,3.01.1.59.1158784,497021,745.53,-17.344833,-66.160056
09-12-610-0561-000,Carmelo Juliá,5957210 CBBA,Av. Beijing N° 161,SUDESTE,11,340,27,277,160,Residencial,3.01.1.33.8543435,543197,814.8,-17.3707,-66.171585
12-15-296-7199-000,Consuela Gutierrez Calvo,8056427 CBBA,Av. Blanco Galindo N° 4073,MUYURINA,13,121,31,300,204,Salud,3.01.1.72.4879508,483300,724.95,-17.413105,-66.195789
08-15-801-6699-000,Consuela Gutierrez Calvo,8056427 CBBA,Av. Melchor Pérez N° 1693,PUKARA GRANDE OESTE,4,230,9,919,387,Mixto,3.01.1.10.8420368,1583437,2375.16,-17.377366,-66.177645
11-18-356-0593-000,Consuela Gutierrez Calvo,8056427 CBBA,Av. Circunvalación N° 2600,LA CHIMBA,4,818,7,917,480,Salud,3.01.1.33.6496773,1162756,1744.13,-17.442731,-66.12189
15-10-026-0607-000,Consuela Gutierrez Calvo,8056427 CBBA,Av. Blanco Galindo N° 3822,LA MAICA,5,715,11,1003,517,Mixto,3.01.1.53.9530320,2267783,3401.67,-17.405508,-66.178527
03-20-814-0255-000,Cayetano Guillermo Carmona Ballesteros,5955854 CBBA,Av. Villazón N° 3461,NORESTE,15,800,40,568,212,Mixto,3.01.1.10.3258766,965032,1447.55,-17.447434,-66.12931
09-05-223-1598-000,Cayetano Guillermo Carmona Ballesteros,5955854 CBBA,Av. Beijing N° 4912,TUPURAYA,5,626,34,1089,617,Mixto,3.01.1.10.2423285,1861101,2791.65,-17.405824,-66.157394
01-19-249-8520-000,África del Rivera,5917749 CBBA,Av. Melchor Pérez N° 2572,COÑA COÑA,12,603,46,1171,862,Educativo,3.01.1.65.1992558,1865403,2798.1,-17.412607,-66.197045
12-15-403-9066-000,África del Rivera,5917749 CBBA,Av. Beijing N° 3666,MESADILLA,2,554,30,354,301,Educativo,3.01.1.95.1600576,414534,621.8,-17.426589,-66.160901
03-09-061-0834-000,Leonor Toro Ojeda,1933857 CBBA,Av. Villazón N° 124,ALALAY SUD,14,32,42,1192,603,Industrial,3.01.1.20.2196855,1158624,1737.94,-17.447954,-66.163603
14-17-577-3607-000,Leonor Toro Ojeda,1933857 CBBA,Av. Blanco Galindo N° 1613,VILLA BUSCH,11,303,5,1116,878,Comercial,3.01.1.25.7594195,2753172,4129.76,-17.343123,-66.171263
04-06-471-8765-000,María Carmen Ponce,9391631 CBBA,Av. Beijing N° 1000,MAYORAZGO,8,103,5,306,202,Mixto,3.01.1.20.2965801,563040,844.56,-17.457843,-66.143421
01-11-992-9238-000,María Carmen Ponce,9391631 CBBA,Av. Beijing N° 3369,TEMPORAL PAMPA,15,331,4,1055,250,Residencial,3.01.1.54.7206201,2463425,3695.14,-17.391933,-66.185674
15-16-992-8485-000,Régulo Gomez Diez,7249029 CBBA,Av. Circunvalación N° 3399,NORESTE,14,942,4,606,198,Comercial,3.01.1.56.9650003,569640,854.46,-17.418801,-66.194652
01-05-078-7708-000,Régulo Gomez Diez,7249029 CBBA,Av. América N° 1503,VALLE HERMOSO OESTE,3,685,37,249,175,Comercial,3.01.1.71.1987829,385452,578.18,-17.458402,-66.124397
11-06-381-9799-000,Régulo Gomez Diez,7249029 CBBA,Av. América N° 3880,VILLA BUSCH,13,397,37,717,655,Mixto,3.01.1.50.7627203,877608,1316.41,-17.366917,-66.163691
04-19-129-6797-000,Régulo Gomez Diez,7249029 CBBA,Av. Melchor Pérez N° 3602,MUYURINA,3,772,11,256,100,Comercial,3.01.1.24.6758436,392704,589.06,-17.391644,-66.205882
02-19-875-7091-000,Amor Caparrós,2101656 CBBA,Av. Circunvalación N° 4477,VILLA BUSCH,9,207,30,339,216,Educativo,3.01.1.38.2827515,278319,417.48,-17.416523,-66.195307
14-10-224-9966-000,Amor Caparrós,2101656 CBBA,Av. Beijing N° 1305,MUYURINA,1,281,42,813,530,Mixto,3.01.1.10.6346729,601620,902.43,-17.35616,-66.153831
03-06-178-3209-000,Camila Almazán,9748213 CBBA,Av. Blanco Galindo N° 2936,LA TEMIBLE CARA CARA,4,622,1,638,375,Industrial,3.01.1.10.2338343,553784,830.68,-17.358715,-66.163806
10-16-761-3292-000,Camila Almazán,9748213 CBBA,Av. Beijing N° 769,1° DE MAYO,7,189,30,236,99,Mixto,3.01.1.26.4945893,403088,604.63,-17.418029,-66.167658
14-01-571-9397-000,Camila Almazán,9748213 CBBA,Av. Villazón N° 129,JAIHUAYCO,7,155,44,255,120,Educativo,3.01.1.63.3290431,621690,932.53,-17.383385,-66.191769
13-07-239-2474-000,Hipólito Infante Viñas,2920341 CBBA,Av. Melchor Pérez N° 3650,ALALAY SUD,6,913,44,1057,478,Mixto,3.01.1.10.7598114,1997730,2996.6,-17.378919,-66.175209
04-10-030-4412-000,Hipólito Infante Viñas,2920341 CBBA,Av. Circunvalación N° 162,NOROESTE,5,140,46,700,648,Industrial,3.01.1.82.9953789,1050700,1576.05,-17.351097,-66.153178
11-20-520-9181-000,Hipólito Infante Viñas,2920341 CBBA,Av. América N° 2957,TICTI,12,951,19,709,267,Comercial,3.01.1.85.1374218,1717198,2575.8,-17.460639,-66.138888
07-04-041-8374-000,Judith Arenas Verdejo,5935177 CBBA,Av. Beijing N° 4169,TICTI,4,585,9,700,55,Mixto,3.01.1.54.6413947,1200500,1800.75,-17.372981,-66.142011
09-03-183-7672-000,Judith Arenas Verdejo,5935177 CBBA,Av. Blanco Galindo N° 3909,SUDOESTE,4,346,1,470,354,Mixto,3.01.1.50.8730486,283880,425.82,-17.389948,-66.136965
10-20-685-0228-000,Judith Arenas Verdejo,5935177 CBBA,Av. Melchor Pérez N° 2153,CALA CALA,10,781,41,1007,220,Residencial,3.01.1.10.9699875,1037210,1555.82,-17.381833,-66.184764
12-12-077-7752-000,Reynaldo Lorenzo Benavente Ferrándiz,7435967 CBBA,Av. Melchor Pérez N° 241,JAIHUAYCO,15,179,16,1049,768,Salud,3.01.1.43.1745670,1733997,2601.0,-17.392026,-66.140672
02-15-535-5147-000,Reynaldo Lorenzo Benavente Ferrándiz,7435967 CBBA,Av. Blanco Galindo N° 843,TAMBORADA PUKARITA,14,157,5,850,207,Comercial,3.01.1.43.6336461,992800,1489.2,-17.439313,-66.177081
15-18-293-9593-000,Reynaldo Lorenzo Benavente Ferrándiz,7435967 CBBA,Av. Blanco Galindo N° 1442,QUERU QUERU ALTO,4,555,8,404,282,Comercial,3.01.1.77.8750446,254520,381.78,-17.379359,-66.138785
06-05-172-6716-000,Ruy Baños Oller,4007045 CBBA,Av. Circunvalación N° 1941,MAYORAZGO,15,844,12,1144,594,Comercial,3.01.1.62.7213241,2527096,3790.64,-17.394574,-66.188581
11-12-589-8781-000,Ruy Baños Oller,4007045 CBBA,Av. Blanco Galindo N° 3127,JAIHUAYCO,7,454,29,804,648,Salud,3.01.1.94.7836848,779880,1169.82,-17.373277,-66.164492
05-17-929-0459-000,Ruy Baños Oller,4007045 CBBA,Av. Circunvalación N° 1956,KHARA KHARA ARRUMANI,5,362,24,311,222,Residencial,3.01.1.62.2872291,679535,1019.3,-17.448102,-66.157615
04-17-545-5849-000,América Águila Paredes,8828549 CBBA,Av. Melchor Pérez N° 4023,PUKARA GRANDE NORTE,6,552,20,266,181,Industrial,3.01.1.21.1501322,468692,703.04,-17.389112,-66.152033
05-11-480-0190-000,América Águila Paredes,8828549 CBBA,Av. Circunvalación N° 2643,LAS CUADRAS,9,49,1,164,79,Salud,3.01.1.17.9234050,183024,274.54,-17.370872,-66.161004
13-10-968-5249-000,América Águila Paredes,8828549 CBBA,Av. Melchor Pérez N° 2616,NOROESTE,10,478,11,643,537,Industrial,3.01.1.28.5182886,552337,828.51,-17.382567,-66.169608
15-19-201-9062-000,Camilo del Barco,2766724 CBBA,Av. América N° 1341,PUKARA GRANDE SUR,15,80,38,1188,1133,Residencial,3.01.1.68.7591930,2429460,3644.19,-17.368362,-66.141552
04-10-583-6258-000,Camilo del Barco,2766724 CBBA,Av. Villazón N° 1356,LA TEMIBLE CARA CARA,14,399,8,283,51,Educativo,3.01.1.35.5655629,172347,258.52,-17.384103,-66.159886
13-13-976-5106-000,Camilo del Barco,2766724 CBBA,Av. América N° 1995,KHARA KHARA ARRUMANI,14,476,5,206,53,Mixto,3.01.1.77.2618916,217124,325.69,-17.350334,-66.162452
13-09-069-1639-000,Curro Batalla Fernández,2768374 CBBA,Av. América N° 1938,COÑA COÑA,12,61,6,267,104,Educativo,3.01.1.30.9159979,522786,784.18,-17.409691,-66.147492
08-17-238-3432-000,Curro Batalla Fernández,2768374 CBBA,Av. Villazón N° 2379,PUKARA GRANDE NORTE,6,255,34,409,97,Industrial,3.01.1.91.9671166,698163,1047.24,-17.416941,-66.128732
10-15-411-2833-000,Curro Batalla Fernández,2768374 CBBA,Av. Circunvalación N° 3305,PUKARA GRANDE NORTE,10,342,18,372,187,Comercial,3.01.1.91.7675780,621984,932.98,-17.452915,-66.151647
02-12-052-9794-000,Susanita Serafina Noguera Giménez,5556977 CBBA,Av. Circunvalación N° 3538,MUYURINA,11,519,41,182,182,Residencial,3.01.1.10.5891166,424060,636.09,-17.458366,-66.152704
14-12-896-4768-000,Susanita Serafina Noguera Giménez,5556977 CBBA,Av. Circunvalación N° 2305,TUPURAYA,6,239,22,572,352,Mixto,3.01.1.37.2822076,662948,994.42,-17.461572,-66.127371
01-04-903-6868-000,Amaro Planas Gómez,9897906 CBBA,Av. Circunvalación N° 531,LAS CUADRAS,3,918,33,170,157,Industrial,3.01.1.44.9629580,213180,319.77,-17.463675,-66.131239
15-03-756-4519-000,Amaro Planas Gómez,9897906 CBBA,Av. Circunvalación N° 2320,QUERU QUERU ALTO,12,647,2,534,122,Comercial,3.01.1.26.8722062,979356,1469.03,-17.365885,-66.180648
08-15-001-9403-000,Amaro Planas Gómez,9897906 CBBA,Av. Beijing N° 1627,ALALAY SUD,7,224,30,230,210,Salud,3.01.1.96.9423221,557520,836.28,-17.432525,-66.132409
03-16-285-8749-000,Amaro Planas Gómez,9897906 CBBA,Av. Blanco Galindo N° 2129,COÑA COÑA,8,484,34,699,445,Mixto,3.01.1.86.5976853,484407,726.61,-17.392885,-66.136699
11-10-050-3449-000,Vilma del Ledesma,6015822 CBBA,Av. Villazón N° 1606,SUDESTE,2,550,17,899,816,Educativo,3.01.1.10.4198536,857646,1286.47,-17.347023,-66.158391
01-16-888-4988-000,Vilma del Ledesma,6015822 CBBA,Av. Blanco Galindo N° 1261,CALA CALA,9,461,23,1085,260,Industrial,3.01.1.33.1990562,2002910,3004.37,-17.385493,-66.156002
06-04-064-7600-000,Vilma del Ledesma,6015822 CBBA,Av. América N° 4070,MAYORAZGO,12,843,33,463,133,Educativo,3.01.1.14.3738492,529209,793.81,-17.410191,-66.158984
14-05-637-6048-000,Ale del Tolosa,3801936 CBBA,Av. Villazón N° 655,LACMA,3,316,40,624,605,Comercial,3.01.1.29.7436653,544128,816.19,-17.437624,-66.119683
10-07-667-1511-000,Ale del Tolosa,3801936 CBBA,Av. Blanco Galindo N° 141,TUPURAYA,2,755,17,956,872,Salud,3.01.1.87.9933703,1780072,2670.11,-17.3819,-66.164085
13-20-372-3748-000,Gabriel del Tejero,3879785 CBBA,Av. América N° 1762,PUKARA GRANDE OESTE,7,446,47,450,405,Educativo,3.01.1.83.8802600,1023300,1534.95,-17.398328,-66.121959
03-09-233-5602-000,Gabriel del Tejero,3879785 CBBA,Av. Beijing N° 3766,JAIHUAYCO,7,483,18,922,784,Industrial,3.01.1.73.7962866,2165778,3248.67,-17.434497,-66.13813
03-19-906-6774-000,Gabriel del Tejero,3879785 CBBA,Av. Villazón N° 2126,LA MAICA,8,940,13,926,830,Salud,3.01.1.82.7995005,2145542,3218.31,-17.422136,-66.18365
06-03-675-4699-000,Gabriel del Tejero,3879785 CBBA,Av. Circunvalación N° 806,TICTI,12,968,35,452,347,Educativo,3.01.1.44.5504460,339000,508.5,-17.41173,-66.177699
